 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_H89_5_BOTH.tif:cell body:1,184.161,58.286,59.171,7.000,4.000,252.000,10733.972,29.000,207672.000,0.000
2,MAX_H89_5_BOTH.tif:nucleus:1,43.159,145.025,32.638,135.000,48.000,248.000,6259.106,141.000,121096.000,0.000
3,MAX_H89_5_BOTH.tif:cytoplasm:1,141.003,31.736,35.193,7.000,4.000,252.000,4474.866,19.000,86576.000,0.000
4,MAX_H89_5_BOTH.tif:dendrite 1:1,3.411,11.918,3.204,7.340,6.741,20.062,40.656,11.218,786.585,14.997
5,MAX_H89_5_BOTH.tif:dendrite 1 background:1,3.411,3.809,0.612,3.005,3.000,5.453,12.992,3.741,251.362,14.997
6,MAX_H89_5_BOTH.tif:dendrite 2:1,4.962,17.763,8.139,15.791,5.335,37.780,88.142,15.801,1705.293,21.748
7,MAX_H89_5_BOTH.tif:dendrite 2 background:1,4.962,4.319,0.972,3.012,3.000,9.092,21.431,4.108,414.629,21.748
8,MAX_H89_5_BOTH.tif:dendrite 3:1,1.085,10.021,5.081,9.186,5.169,27.772,10.877,9.158,210.438,4.699
9,MAX_H89_5_BOTH.tif:dendrite 3 background:1,1.085,4.569,0.979,4.357,3.000,6.714,4.959,4.432,95.945,4.699
10,MAX_H89_5_BOTH.tif:AIS:1,5.686,20.045,7.356,17.310,8.781,46.106,113.966,18.499,2204.920,25.003
11,MAX_H89_5_BOTH.tif:AIS background:1,5.686,4.988,3.416,3.989,3.000,23.253,28.360,4.178,548.677,25.003
12,MAX_H89_5_BOTH.tif:axon:1,15.403,24.378,9.564,18.950,7.422,76.858,375.482,23.632,7264.523,67.618
13,MAX_H89_5_BOTH.tif:axon background:1,15.403,4.234,1.619,3.035,3.000,20.908,65.211,4.000,1261.646,67.618
14,MAX_H89_5_BOTH.tif:growth cone:1,28.531,22.212,14.185,9.000,4.000,87.000,633.736,19.000,12261.000,0.000
15,MAX_H89_5_BOTH.tif:growth cone background:1,28.531,4.172,1.300,4.000,3.000,13.000,119.035,4.000,2303.000,0.000
