 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_clof_5_BOTH.tif:cell body:1,391.168,28.237,30.914,5.000,3.000,247.000,11045.594,14.000,213701.000,0.000
2,MAX_clof_5_BOTH.tif:nucleus:1,57.321,83.179,23.097,76.000,32.000,200.000,4767.880,79.000,92245.000,0.000
3,MAX_clof_5_BOTH.tif:cytoplasm:1,333.847,18.804,20.517,5.000,3.000,247.000,6277.713,12.000,121456.000,0.000
4,MAX_clof_5_BOTH.tif:dendrite 1:1,2.223,7.944,1.974,6.847,5.016,12.638,17.656,7.772,341.597,9.561
5,MAX_clof_5_BOTH.tif:dendrite 1 background:1,2.223,4.108,0.952,3.007,3.000,6.827,9.130,3.826,176.644,9.561
6,MAX_clof_5_BOTH.tif:dendrite 2:1,4.032,5.524,1.255,4.992,3.320,8.510,22.272,5.342,430.897,17.526
7,MAX_clof_5_BOTH.tif:dendrite 2 background:1,4.032,3.979,0.803,3.022,3.000,6.722,16.043,3.870,310.392,17.526
8,MAX_clof_5_BOTH.tif:dendrite 3:1,2.636,7.696,2.502,6.679,4.274,14.982,20.288,6.888,392.512,11.382
9,MAX_clof_5_BOTH.tif:dendrite 3 background:1,2.636,4.115,0.815,3.008,3.000,7.178,10.848,4.015,209.870,11.382
10,MAX_clof_5_BOTH.tif:AIS:1,3.773,14.129,3.819,9.609,7.526,23.934,53.312,13.688,1031.438,16.505
11,MAX_clof_5_BOTH.tif:AIS background:1,3.773,4.131,0.655,3.654,3.000,5.408,15.586,4.152,301.539,16.505
12,MAX_clof_5_BOTH.tif:axon:1,10.751,14.627,4.540,11.371,6.101,33.918,157.259,14.202,3042.509,47.291
13,MAX_clof_5_BOTH.tif:axon background:1,10.751,4.070,1.314,3.030,3.000,18.440,43.751,3.929,846.467,47.291
14,MAX_clof_5_BOTH.tif:growth cone:1,64.816,10.210,6.073,7.000,3.000,74.000,661.750,9.000,12803.000,0.000
15,MAX_clof_5_BOTH.tif:growth cone background:1,64.816,4.018,1.107,3.000,3.000,9.000,260.400,4.000,5038.000,0.000
