 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_clof_6_soma.tif:cell body:1,356.745,33.235,32.160,6.000,3.000,190.000,11856.410,19.000,229388.000,0.000
2,MAX_clof_6_soma.tif:nucleus:1,60.836,75.472,27.394,58.000,21.000,190.000,4591.369,68.000,88830.000,0.000
3,MAX_clof_6_soma.tif:cytoplasm:1,295.909,24.552,25.506,6.000,3.000,173.000,7265.041,15.000,140558.000,0.000
4,MAX_clof_6_soma.tif:dendrite 1:1,2.739,12.609,6.105,5.465,4.200,32.367,34.541,11.424,668.279,11.904
5,MAX_clof_6_soma.tif:dendrite 1 background:1,2.739,4.693,1.000,4.074,3.113,7.625,12.855,4.478,248.716,11.904
6,MAX_clof_6_soma.tif:dendrite 2:1,3.050,13.943,5.810,10.800,5.891,36.174,42.519,12.682,822.622,13.327
7,MAX_clof_6_soma.tif:dendrite 2 background:1,3.050,6.871,3.188,4.609,3.550,18.198,20.954,5.851,405.401,13.327
8,MAX_clof_6_soma.tif:dendrite 3:1,1.757,14.003,4.129,10.617,8.635,27.086,24.609,12.836,476.110,7.675
9,MAX_clof_6_soma.tif:dendrite 3 background:1,1.757,4.419,0.747,3.997,3.304,6.187,7.766,4.209,150.250,7.675
10,MAX_clof_6_soma.tif:AIS:1,7.908,9.843,3.047,7.012,5.000,22.460,77.842,9.303,1506.016,34.608
11,MAX_clof_6_soma.tif:AIS background:1,7.908,4.311,0.955,4.001,3.000,8.393,34.089,4.107,659.527,34.608
