 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_d6b2c66c-1c74-11ed-8000-e71d7da96fa2.tif:cell body:1,250.062,463.601,372.780,161.443,120.000,2049.000,115929.141,275.000,2242901.000,0.000
2,SUM_d6b2c66c-1c74-11ed-8000-e71d7da96fa2.tif:nucleus:1,61.404,1015.521,237.567,888.025,316.000,2049.000,62357.383,977.500,1206439.000,0.000
3,SUM_d6b2c66c-1c74-11ed-8000-e71d7da96fa2.tif:cytoplasm:1,188.658,283.962,185.463,153.465,120.000,1438.000,53571.758,207.500,1036462.000,0.000
4,SUM_d6b2c66c-1c74-11ed-8000-e71d7da96fa2.tif:dendrite 1:1,1.447,168.053,10.473,150.493,150.414,190.495,243.213,166.945,4705.478,6.358
5,SUM_d6b2c66c-1c74-11ed-8000-e71d7da96fa2.tif:dendrite 1 background:1,1.447,121.931,1.627,120.951,120.000,127.979,176.464,121.755,3414.082,6.358
6,SUM_d6b2c66c-1c74-11ed-8000-e71d7da96fa2.tif:dendrite 2:1,1.085,135.139,11.219,121.982,121.629,157.811,146.684,132.814,2837.912,4.763
7,SUM_d6b2c66c-1c74-11ed-8000-e71d7da96fa2.tif:dendrite 2 background:1,1.085,121.038,0.889,120.005,120.000,122.786,131.378,120.932,2541.789,4.763
8,SUM_d6b2c66c-1c74-11ed-8000-e71d7da96fa2.tif:dendrite 3:1,1.396,139.390,10.778,127.898,121.749,162.637,194.527,136.636,3763.541,6.132
9,SUM_d6b2c66c-1c74-11ed-8000-e71d7da96fa2.tif:dendrite 3 background:1,1.396,122.556,3.414,120.612,120.003,136.416,171.034,121.406,3309.023,6.132
10,SUM_d6b2c66c-1c74-11ed-8000-e71d7da96fa2.tif:AIS:1,5.272,340.810,67.727,347.127,234.746,486.008,1796.781,333.225,34762.634,23.052
11,SUM_d6b2c66c-1c74-11ed-8000-e71d7da96fa2.tif:AIS background:1,5.272,121.627,1.344,120.017,120.000,128.720,641.226,121.509,12405.917,23.052
12,SUM_d6b2c66c-1c74-11ed-8000-e71d7da96fa2.tif:axon:1,15.816,256.393,79.723,235.512,135.567,520.318,4055.172,235.782,78456.110,69.476
13,SUM_d6b2c66c-1c74-11ed-8000-e71d7da96fa2.tif:axon background:1,15.816,121.956,2.256,120.041,120.000,141.036,1928.895,121.476,37318.668,69.476
14,SUM_d6b2c66c-1c74-11ed-8000-e71d7da96fa2.tif:growth cone:1,77.324,133.422,12.556,125.906,120.000,232.000,10316.702,130.000,199599.000,0.000
15,SUM_d6b2c66c-1c74-11ed-8000-e71d7da96fa2.tif:growth cone background:1,77.324,120.980,1.402,120.023,120.000,132.000,9354.649,121.000,180986.000,0.000
