 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,SUM_8c2914e8-3ff0-4c21-a92c-9a6995bb6f24.tif:cell body:1,214.192,587.746,418.269,181.352,109.000,1873.000,0.000,0.000,125890.132,409.500,2435618.000,0,0.000
2,SUM_8c2914e8-3ff0-4c21-a92c-9a6995bb6f24.tif:nucleus:1,56.701,1135.341,255.827,1202.248,448.000,1873.000,0.000,0.000,64374.732,1131.000,1245469.000,0,0.000
3,SUM_8c2914e8-3ff0-4c21-a92c-9a6995bb6f24.tif:cytoplasm:1,157.491,390.597,259.872,237.916,109.000,1644.000,0.000,0.000,61515.400,299.000,1190149.000,0,0.000
4,SUM_8c2914e8-3ff0-4c21-a92c-9a6995bb6f24.tif:dendrite 1:1,4.807,213.119,33.189,200.771,159.037,312.762,0.000,0.000,1024.441,211.345,19820.044,0,21.138
5,SUM_8c2914e8-3ff0-4c21-a92c-9a6995bb6f24.tif:dendrite 1 background:1,4.807,106.193,0.974,105.009,105.000,109.386,0.000,0.000,510.459,106.106,9875.943,0,21.138
6,SUM_8c2914e8-3ff0-4c21-a92c-9a6995bb6f24.tif:dendrite 2:1,0.000,106.000,0.000,106.000,106.000,106.000,93.251,66.272,5.479,106.000,106.000,1,0.000
7,SUM_8c2914e8-3ff0-4c21-a92c-9a6995bb6f24.tif:dendrite 2 background:1,0.000,105.000,0.000,105.000,105.000,105.000,95.524,68.545,5.427,105.000,105.000,1,0.000
8,SUM_8c2914e8-3ff0-4c21-a92c-9a6995bb6f24.tif:dendrite 3:1,0.000,106.000,0.000,106.000,106.000,106.000,93.251,66.272,5.479,106.000,106.000,1,0.000
9,SUM_8c2914e8-3ff0-4c21-a92c-9a6995bb6f24.tif:dendrite 3 background:1,0.000,105.000,0.000,105.000,105.000,105.000,95.524,68.545,5.427,105.000,105.000,1,0.000
10,SUM_8c2914e8-3ff0-4c21-a92c-9a6995bb6f24.tif:AIS:1,9.872,178.514,49.797,130.095,118.520,355.588,0.000,0.000,1762.334,163.514,34096.180,0,43.383
11,SUM_8c2914e8-3ff0-4c21-a92c-9a6995bb6f24.tif:AIS background:1,9.872,108.808,5.668,105.083,105.000,147.535,0.000,0.000,1074.184,106.506,20782.423,0,43.383
