 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_525f1497-56a2-4025-87b7-d384b0e04e95.tif:cell body:1,636.527,300.370,278.342,112.014,102.000,1811.000,191193.889,163.000,3699061.000,0.000
2,SUM_525f1497-56a2-4025-87b7-d384b0e04e95.tif:nucleus:1,73.137,857.130,261.157,635.725,354.000,1811.000,62688.181,818.000,1212839.000,0.000
3,SUM_525f1497-56a2-4025-87b7-d384b0e04e95.tif:cytoplasm:1,563.390,228.094,182.251,120.635,102.000,1465.000,128505.708,149.000,2486222.000,0.000
4,SUM_525f1497-56a2-4025-87b7-d384b0e04e95.tif:dendrite 1:1,2.946,128.360,16.263,124.246,104.681,169.308,378.170,124.776,7316.520,12.879
5,SUM_525f1497-56a2-4025-87b7-d384b0e04e95.tif:dendrite 1 background:1,2.946,105.679,7.082,103.410,102.002,144.427,311.348,103.854,6023.702,12.879
6,SUM_525f1497-56a2-4025-87b7-d384b0e04e95.tif:dendrite 2:1,4.704,130.248,14.650,105.987,105.877,162.434,612.625,127.374,11852.558,20.659
7,SUM_525f1497-56a2-4025-87b7-d384b0e04e95.tif:dendrite 2 background:1,4.704,103.944,3.890,102.465,102.000,136.047,488.903,103.124,9458.889,20.659
8,SUM_525f1497-56a2-4025-87b7-d384b0e04e95.tif:dendrite 3:1,1.602,155.441,17.841,135.641,128.114,191.293,249.063,152.273,4818.672,6.893
9,SUM_525f1497-56a2-4025-87b7-d384b0e04e95.tif:dendrite 3 background:1,1.602,103.817,1.944,102.328,102.091,110.181,166.346,103.233,3218.324,6.893
10,SUM_525f1497-56a2-4025-87b7-d384b0e04e95.tif:AIS:1,7.443,243.048,39.384,236.580,156.960,366.014,1808.991,241.338,34998.850,32.531
11,SUM_525f1497-56a2-4025-87b7-d384b0e04e95.tif:AIS background:1,7.443,103.631,2.520,102.053,102.000,129.132,771.323,103.173,14922.914,32.531
