 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_a9973cc0-b367-4d24-a3c6-d4363e5be65f.tif:cell body:1,236.262,513.268,335.027,188.621,126.000,1520.000,121265.683,371.000,2346148.000,0.000
2,SUM_a9973cc0-b367-4d24-a3c6-d4363e5be65f.tif:nucleus:1,74.171,922.577,202.974,1046.059,422.000,1520.000,68428.503,929.000,1323898.000,0.000
3,SUM_a9973cc0-b367-4d24-a3c6-d4363e5be65f.tif:cytoplasm:1,162.091,325.973,181.656,206.869,126.000,1309.000,52837.180,263.000,1022250.000,0.000
4,SUM_a9973cc0-b367-4d24-a3c6-d4363e5be65f.tif:dendrite 1:1,3.463,137.467,14.343,122.615,120.150,180.247,476.052,133.308,9210.256,15.138
5,SUM_a9973cc0-b367-4d24-a3c6-d4363e5be65f.tif:dendrite 1 background:1,3.463,116.559,2.250,115.080,114.054,125.230,403.649,116.153,7809.475,15.138
6,SUM_a9973cc0-b367-4d24-a3c6-d4363e5be65f.tif:dendrite 2:1,3.256,153.484,15.982,145.634,126.146,197.928,499.790,148.788,9669.513,14.172
7,SUM_a9973cc0-b367-4d24-a3c6-d4363e5be65f.tif:dendrite 2 background:1,3.256,121.775,39.333,114.846,114.236,426.500,396.535,115.618,7671.830,14.172
8,SUM_a9973cc0-b367-4d24-a3c6-d4363e5be65f.tif:dendrite 3:1,1.912,164.520,15.806,168.717,138.850,193.269,314.632,164.447,6087.234,8.335
9,SUM_a9973cc0-b367-4d24-a3c6-d4363e5be65f.tif:dendrite 3 background:1,1.912,115.321,0.893,114.015,114.009,117.095,220.543,115.318,4266.877,8.335
10,SUM_a9973cc0-b367-4d24-a3c6-d4363e5be65f.tif:AIS:1,4.135,231.417,43.094,179.187,146.778,333.217,956.903,223.904,18513.376,18.010
11,SUM_a9973cc0-b367-4d24-a3c6-d4363e5be65f.tif:AIS background:1,4.135,115.635,1.335,114.509,114.000,121.041,478.147,115.455,9250.790,18.010
12,SUM_a9973cc0-b367-4d24-a3c6-d4363e5be65f.tif:axon:1,22.277,201.710,39.058,180.487,133.128,405.573,4493.531,192.859,86937.113,97.866
13,SUM_a9973cc0-b367-4d24-a3c6-d4363e5be65f.tif:axon background:1,22.277,120.424,36.579,114.734,114.000,489.556,2682.704,115.026,51902.730,97.866
14,SUM_a9973cc0-b367-4d24-a3c6-d4363e5be65f.tif:growth cone:1,103.478,158.923,35.943,125.525,114.000,395.000,16444.988,149.000,318164.000,0.000
15,SUM_a9973cc0-b367-4d24-a3c6-d4363e5be65f.tif:growth cone background:1,103.478,118.390,23.760,114.793,114.000,520.000,12250.679,115.000,237016.000,0.000
