 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,SUM_d2fe10bd-99fe-466b-9b9e-8f69a279b203.tif:cell body:1,172.377,474.395,262.593,145.221,129.000,1790.000,0.000,0.000,81774.536,421.000,1582106.000,0,0.000
2,SUM_d2fe10bd-99fe-466b-9b9e-8f69a279b203.tif:nucleus:1,62.955,724.454,164.080,656.463,371.000,1790.000,0.000,0.000,45607.958,689.000,882385.000,0,0.000
3,SUM_d2fe10bd-99fe-466b-9b9e-8f69a279b203.tif:cytoplasm:1,109.422,330.525,190.948,147.211,129.000,1165.000,0.000,0.000,36166.578,272.000,699721.000,0,0.000
4,SUM_d2fe10bd-99fe-466b-9b9e-8f69a279b203.tif:dendrite 1:1,0.879,165.881,18.259,142.380,142.255,206.250,0.000,0.000,145.756,167.399,2819.974,0,3.828
5,SUM_d2fe10bd-99fe-466b-9b9e-8f69a279b203.tif:dendrite 1 background:1,0.879,119.999,1.894,117.332,117.317,125.000,0.000,0.000,105.441,119.912,2039.976,0,3.828
6,SUM_d2fe10bd-99fe-466b-9b9e-8f69a279b203.tif:dendrite 2:1,0.000,117.000,0.000,117.000,117.000,117.000,79.117,5.911,6.047,117.000,117.000,1,0.000
7,SUM_d2fe10bd-99fe-466b-9b9e-8f69a279b203.tif:dendrite 2 background:1,0.000,119.000,0.000,119.000,119.000,119.000,81.391,8.185,6.151,119.000,119.000,1,0.000
8,SUM_d2fe10bd-99fe-466b-9b9e-8f69a279b203.tif:dendrite 3:1,0.000,117.000,0.000,117.000,117.000,117.000,79.117,5.911,6.047,117.000,117.000,1,0.000
9,SUM_d2fe10bd-99fe-466b-9b9e-8f69a279b203.tif:dendrite 3 background:1,0.000,119.000,0.000,119.000,119.000,119.000,81.391,8.185,6.151,119.000,119.000,1,0.000
10,SUM_d2fe10bd-99fe-466b-9b9e-8f69a279b203.tif:AIS:1,5.014,205.335,26.243,183.871,157.901,284.539,0.000,0.000,1029.479,203.198,19917.513,0,21.970
11,SUM_d2fe10bd-99fe-466b-9b9e-8f69a279b203.tif:AIS background:1,5.014,120.100,4.354,117.671,117.010,143.007,0.000,0.000,602.140,118.635,11649.700,0,21.970
