 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_468b688b-4dbe-4ccf-9b8e-8d4c0b0c4c4f.tif:cell body:1,459.809,256.777,199.172,111.717,102.000,1097.000,118068.317,149.000,2284288.000,0.000
2,SUM_468b688b-4dbe-4ccf-9b8e-8d4c0b0c4c4f.tif:nucleus:1,72.259,616.289,99.180,638.758,250.000,934.000,44532.194,622.000,861572.000,0.000
3,SUM_468b688b-4dbe-4ccf-9b8e-8d4c0b0c4c4f.tif:cytoplasm:1,387.550,189.746,128.990,111.717,102.000,1097.000,73536.123,133.000,1422716.000,0.000
4,SUM_468b688b-4dbe-4ccf-9b8e-8d4c0b0c4c4f.tif:dendrite 1:1,2.998,135.029,18.520,110.953,107.925,189.537,404.798,132.338,7831.698,13.019
5,SUM_468b688b-4dbe-4ccf-9b8e-8d4c0b0c4c4f.tif:dendrite 1 background:1,2.998,104.718,2.523,103.001,102.208,117.240,313.930,103.961,6073.662,13.019
6,SUM_468b688b-4dbe-4ccf-9b8e-8d4c0b0c4c4f.tif:dendrite 2:1,2.843,124.037,16.481,114.513,105.849,186.500,352.613,117.842,6822.062,12.333
7,SUM_468b688b-4dbe-4ccf-9b8e-8d4c0b0c4c4f.tif:dendrite 2 background:1,2.843,105.338,4.480,102.037,102.000,121.122,299.455,103.500,5793.615,12.333
8,SUM_468b688b-4dbe-4ccf-9b8e-8d4c0b0c4c4f.tif:dendrite 3:1,1.964,133.643,16.787,118.979,113.227,175.888,262.490,129.112,5078.432,8.552
9,SUM_468b688b-4dbe-4ccf-9b8e-8d4c0b0c4c4f.tif:dendrite 3 background:1,1.964,106.324,4.825,105.050,102.388,131.384,208.832,105.144,4040.310,8.552
10,SUM_468b688b-4dbe-4ccf-9b8e-8d4c0b0c4c4f.tif:AIS:1,12.457,219.135,40.134,178.372,153.739,391.696,2729.672,210.633,52811.430,54.625
11,SUM_468b688b-4dbe-4ccf-9b8e-8d4c0b0c4c4f.tif:AIS background:1,12.457,104.288,3.475,102.041,102.000,122.846,1299.073,103.158,25133.395,54.625
