 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,SUM_3351a0cc-3c2e-48ff-9982-470c39c580fb.tif:cell body:1,224.684,420.880,337.854,150.414,118.000,1962.000,0.000,0.000,94565.036,249.000,1829566.000,0,0.000
2,SUM_3351a0cc-3c2e-48ff-9982-470c39c580fb.tif:nucleus:1,53.341,924.729,242.918,941.941,304.000,1962.000,0.000,0.000,49326.073,903.000,954320.000,0,0.000
3,SUM_3351a0cc-3c2e-48ff-9982-470c39c580fb.tif:cytoplasm:1,171.343,264.026,166.337,167.875,118.000,1334.000,0.000,0.000,45238.964,202.000,875246.000,0,0.000
4,SUM_3351a0cc-3c2e-48ff-9982-470c39c580fb.tif:dendrite 1:1,0.000,117.000,0.000,117.000,117.000,117.000,92.417,73.206,6.047,117.000,117.000,1,0.000
5,SUM_3351a0cc-3c2e-48ff-9982-470c39c580fb.tif:dendrite 1 background:1,0.000,114.000,0.000,114.000,114.000,114.000,94.690,75.480,5.892,114.000,114.000,1,0.000
6,SUM_3351a0cc-3c2e-48ff-9982-470c39c580fb.tif:dendrite 2:1,0.000,117.000,0.000,117.000,117.000,117.000,92.417,73.206,6.047,117.000,117.000,1,0.000
7,SUM_3351a0cc-3c2e-48ff-9982-470c39c580fb.tif:dendrite 2 background:1,0.000,114.000,0.000,114.000,114.000,114.000,94.690,75.480,5.892,114.000,114.000,1,0.000
8,SUM_3351a0cc-3c2e-48ff-9982-470c39c580fb.tif:dendrite 3:1,0.000,117.000,0.000,117.000,117.000,117.000,92.417,73.206,6.047,117.000,117.000,1,0.000
9,SUM_3351a0cc-3c2e-48ff-9982-470c39c580fb.tif:dendrite 3 background:1,0.000,114.000,0.000,114.000,114.000,114.000,94.690,75.480,5.892,114.000,114.000,1,0.000
10,SUM_3351a0cc-3c2e-48ff-9982-470c39c580fb.tif:AIS:1,4.704,230.118,36.436,211.206,175.881,399.169,0.000,0.000,1082.365,218.415,20940.700,0,20.685
11,SUM_3351a0cc-3c2e-48ff-9982-470c39c580fb.tif:AIS background:1,4.704,119.986,10.457,115.128,114.000,178.150,0.000,0.000,564.356,116.336,10918.687,0,20.685
12,SUM_3351a0cc-3c2e-48ff-9982-470c39c580fb.tif:axon:1,25.223,211.512,45.606,193.375,145.024,475.100,0.000,0.000,5335.026,203.179,103217.660,0,110.813
13,SUM_3351a0cc-3c2e-48ff-9982-470c39c580fb.tif:axon background:1,25.223,122.677,21.011,115.240,114.000,325.571,0.000,0.000,3094.325,116.402,59866.447,0,110.813
14,SUM_3351a0cc-3c2e-48ff-9982-470c39c580fb.tif:growth cone:1,68.951,133.451,16.125,122.900,114.000,331.000,0.000,0.000,9201.552,130.000,178024.000,0,0.000
15,SUM_3351a0cc-3c2e-48ff-9982-470c39c580fb.tif:growth cone background:1,68.951,116.055,4.340,114.127,114.000,179.000,0.000,0.000,8002.048,115.000,154817.000,0,0.000
