 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_50a7b998-633a-450d-86ef-8e58a2b294c1.tif:cell body:1,440.530,377.430,335.279,150.848,129.000,1727.000,166268.850,218.000,3216832.000,0.000
2,SUM_50a7b998-633a-450d-86ef-8e58a2b294c1.tif:nucleus:1,65.488,1054.511,239.543,1141.637,473.000,1727.000,69057.432,1077.000,1336066.000,0.000
3,SUM_50a7b998-633a-450d-86ef-8e58a2b294c1.tif:cytoplasm:1,375.042,259.201,167.302,151.465,129.000,1407.000,97211.418,201.000,1880766.000,0.000
4,SUM_50a7b998-633a-450d-86ef-8e58a2b294c1.tif:dendrite 1:1,5.996,175.223,19.933,165.272,143.315,231.834,1050.588,171.332,20325.913,26.195
5,SUM_50a7b998-633a-450d-86ef-8e58a2b294c1.tif:dendrite 1 background:1,5.996,131.373,4.897,129.263,129.000,173.862,787.674,130.537,15239.258,26.195
6,SUM_50a7b998-633a-450d-86ef-8e58a2b294c1.tif:dendrite 2:1,5.375,152.314,11.431,151.738,135.299,191.040,818.757,150.672,15840.629,23.655
7,SUM_50a7b998-633a-450d-86ef-8e58a2b294c1.tif:dendrite 2 background:1,5.375,130.640,1.326,129.522,129.000,136.640,702.252,130.404,13586.590,23.655
8,SUM_50a7b998-633a-450d-86ef-8e58a2b294c1.tif:dendrite 3:1,3.928,160.102,18.355,175.887,134.355,231.452,628.915,156.199,12167.724,17.092
9,SUM_50a7b998-633a-450d-86ef-8e58a2b294c1.tif:dendrite 3 background:1,3.928,136.394,14.265,130.456,129.048,209.138,535.784,131.291,10365.913,17.092
10,SUM_50a7b998-633a-450d-86ef-8e58a2b294c1.tif:AIS:1,9.097,203.380,23.600,181.584,164.445,288.041,1850.134,200.059,35794.856,39.841
11,SUM_50a7b998-633a-450d-86ef-8e58a2b294c1.tif:AIS background:1,9.097,131.325,1.906,130.302,129.031,141.790,1194.652,130.928,23113.131,39.841
