 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,SUM_8163c78b-d95f-490b-bb37-4102fd82e7e3.tif:cell body:1,164.468,444.916,314.179,122.064,99.000,1786.000,0.000,0.000,73174.623,309.500,1415722.000,0,0.000
2,SUM_8163c78b-d95f-490b-bb37-4102fd82e7e3.tif:nucleus:1,51.997,784.242,214.098,760.062,218.000,1786.000,0.000,0.000,40778.415,790.500,788947.000,0,0.000
3,SUM_8163c78b-d95f-490b-bb37-4102fd82e7e3.tif:cytoplasm:1,112.471,288.040,212.853,134.893,99.000,1180.000,0.000,0.000,32396.208,211.000,626775.000,0,0.000
4,SUM_8163c78b-d95f-490b-bb37-4102fd82e7e3.tif:dendrite 1:1,2.481,104.337,7.802,100.553,96.865,138.827,0.000,0.000,258.858,101.587,5008.170,0,10.775
5,SUM_8163c78b-d95f-490b-bb37-4102fd82e7e3.tif:dendrite 1 background:1,2.481,94.711,1.217,94.536,93.136,99.482,0.000,0.000,234.977,94.527,4546.144,0,10.775
6,SUM_8163c78b-d95f-490b-bb37-4102fd82e7e3.tif:dendrite 2:1,0.569,112.753,10.623,100.813,100.750,132.984,0.000,0.000,64.106,111.033,1240.279,0,2.398
7,SUM_8163c78b-d95f-490b-bb37-4102fd82e7e3.tif:dendrite 2 background:1,0.569,97.586,5.023,93.580,93.549,109.037,0.000,0.000,55.484,95.276,1073.451,0,2.398
8,SUM_8163c78b-d95f-490b-bb37-4102fd82e7e3.tif:dendrite 3:1,0.000,93.000,0.000,93.000,93.000,93.000,23.190,25.690,4.807,93.000,93.000,1,0.000
9,SUM_8163c78b-d95f-490b-bb37-4102fd82e7e3.tif:dendrite 3 background:1,0.000,98.000,0.000,98.000,98.000,98.000,25.463,27.964,5.065,98.000,98.000,1,0.000
10,SUM_8163c78b-d95f-490b-bb37-4102fd82e7e3.tif:AIS:1,2.843,131.920,13.246,114.447,102.500,161.887,0.000,0.000,375.022,131.222,7255.611,0,12.314
11,SUM_8163c78b-d95f-490b-bb37-4102fd82e7e3.tif:AIS background:1,2.843,94.736,1.852,94.155,93.029,102.480,0.000,0.000,269.314,94.349,5210.465,0,12.314
12,SUM_8163c78b-d95f-490b-bb37-4102fd82e7e3.tif:axon:1,30.650,134.039,27.726,119.028,94.823,304.877,0.000,0.000,4108.359,125.946,79485.135,0,134.804
13,SUM_8163c78b-d95f-490b-bb37-4102fd82e7e3.tif:axon background:1,30.650,96.004,6.170,93.976,93.000,148.518,0.000,0.000,2942.566,94.545,56930.326,0,134.804
14,SUM_8163c78b-d95f-490b-bb37-4102fd82e7e3.tif:growth cone:1,79.030,138.946,48.111,108.734,93.000,517.000,0.000,0.000,10980.881,129.000,212449.000,0,0.000
15,SUM_8163c78b-d95f-490b-bb37-4102fd82e7e3.tif:growth cone background:1,79.030,94.627,2.643,93.115,93.000,152.000,0.000,0.000,7478.302,94.000,144684.000,0,0.000
