 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_a06f607c-ec40-4c90-9896-b57b1cb31728.tif:cell body:1,377.058,290.259,215.384,139.775,123.000,1350.000,109444.421,187.000,2117440.000,0.000
2,SUM_a06f607c-ec40-4c90-9896-b57b1cb31728.tif:nucleus:1,61.663,641.660,191.061,429.281,246.000,1350.000,39566.507,624.000,765500.000,0.000
3,SUM_a06f607c-ec40-4c90-9896-b57b1cb31728.tif:cytoplasm:1,315.395,221.557,139.509,139.160,123.000,1305.000,69877.914,171.000,1351940.000,0.000
4,SUM_a06f607c-ec40-4c90-9896-b57b1cb31728.tif:dendrite 1:1,5.944,150.327,19.897,146.310,127.725,251.305,893.550,146.395,17287.660,26.102
5,SUM_a06f607c-ec40-4c90-9896-b57b1cb31728.tif:dendrite 1 background:1,5.944,124.918,1.451,124.503,123.013,129.763,742.517,124.594,14365.607,26.102
6,SUM_a06f607c-ec40-4c90-9896-b57b1cb31728.tif:dendrite 2:1,4.807,144.379,10.373,143.390,126.364,179.844,694.014,142.914,13427.214,20.968
7,SUM_a06f607c-ec40-4c90-9896-b57b1cb31728.tif:dendrite 2 background:1,4.807,124.639,1.188,124.086,123.000,129.697,599.128,124.426,11591.437,20.968
8,SUM_a06f607c-ec40-4c90-9896-b57b1cb31728.tif:dendrite 3:1,3.515,156.193,15.539,133.757,132.962,214.403,548.974,154.600,10621.096,15.345
9,SUM_a06f607c-ec40-4c90-9896-b57b1cb31728.tif:dendrite 3 background:1,3.515,125.276,1.821,123.983,123.000,132.500,440.312,124.688,8518.790,15.345
10,SUM_a06f607c-ec40-4c90-9896-b57b1cb31728.tif:AIS:1,4.290,186.286,25.154,176.795,149.755,325.002,799.172,181.139,15461.721,18.742
11,SUM_a06f607c-ec40-4c90-9896-b57b1cb31728.tif:AIS background:1,4.290,125.238,1.587,124.161,123.000,130.527,537.276,124.794,10394.774,18.742
12,SUM_a06f607c-ec40-4c90-9896-b57b1cb31728.tif:axon:1,14.472,165.532,21.116,157.417,130.850,283.683,2395.651,162.504,46349.078,63.597
13,SUM_a06f607c-ec40-4c90-9896-b57b1cb31728.tif:axon background:1,14.472,125.285,2.449,123.776,123.000,143.923,1813.169,124.659,35079.697,63.597
14,SUM_a06f607c-ec40-4c90-9896-b57b1cb31728.tif:growth cone:1,52.101,137.152,12.219,130.023,123.000,247.000,7145.696,134.000,138249.000,0.000
15,SUM_a06f607c-ec40-4c90-9896-b57b1cb31728.tif:growth cone background:1,52.101,124.778,2.037,123.037,123.000,142.000,6501.002,124.000,125776.000,0.000
