 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_30f7b57b-0247-4c18-b379-7ebfacb6e098.tif:cell body:1,570.213,335.100,343.126,121.939,108.000,2487.000,191078.420,181.000,3696827.000,0.000
2,SUM_30f7b57b-0247-4c18-b379-7ebfacb6e098.tif:nucleus:1,56.339,952.506,374.281,885.135,240.000,2487.000,53663.192,901.000,1038231.000,0.000
3,SUM_30f7b57b-0247-4c18-b379-7ebfacb6e098.tif:cytoplasm:1,513.874,267.411,262.527,121.078,108.000,2340.000,137415.227,166.000,2658596.000,0.000
4,SUM_30f7b57b-0247-4c18-b379-7ebfacb6e098.tif:dendrite 1:1,2.378,138.151,17.911,121.110,111.924,176.350,328.468,135.230,6354.936,10.272
5,SUM_30f7b57b-0247-4c18-b379-7ebfacb6e098.tif:dendrite 1 background:1,2.378,110.302,2.305,108.732,108.000,123.000,262.254,109.910,5073.870,10.272
6,SUM_30f7b57b-0247-4c18-b379-7ebfacb6e098.tif:dendrite 2:1,1.757,141.102,11.795,143.238,120.000,168.963,247.967,138.739,4797.466,7.583
7,SUM_30f7b57b-0247-4c18-b379-7ebfacb6e098.tif:dendrite 2 background:1,1.757,109.703,1.454,108.011,108.000,113.784,192.788,109.148,3729.898,7.583
8,SUM_30f7b57b-0247-4c18-b379-7ebfacb6e098.tif:dendrite 3:1,1.240,149.369,9.378,129.169,129.104,162.524,185.291,149.984,3584.853,5.345
9,SUM_30f7b57b-0247-4c18-b379-7ebfacb6e098.tif:dendrite 3 background:1,1.240,114.685,8.354,109.028,108.440,141.887,142.266,111.647,2752.446,5.345
10,SUM_30f7b57b-0247-4c18-b379-7ebfacb6e098.tif:AIS:1,7.753,189.839,37.815,148.837,130.000,377.300,1471.837,183.158,28475.882,34.081
11,SUM_30f7b57b-0247-4c18-b379-7ebfacb6e098.tif:AIS background:1,7.753,114.683,13.493,108.126,108.000,172.547,889.145,109.719,17202.449,34.081
