 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_d5a6b899-d443-4956-82f7-6543334134db.tif:cell body:1,248.615,478.531,417.840,143.461,132.000,2088.000,118969.999,250.000,2301733.000,0.000
2,SUM_d5a6b899-d443-4956-82f7-6543334134db.tif:nucleus:1,52.928,1114.081,272.856,1069.869,401.000,2088.000,58965.673,1100.500,1140819.000,0.000
3,SUM_d5a6b899-d443-4956-82f7-6543334134db.tif:cytoplasm:1,195.688,306.633,250.733,142.641,132.000,1948.000,60004.326,184.000,1160914.000,0.000
4,SUM_d5a6b899-d443-4956-82f7-6543334134db.tif:dendrite 1:1,1.137,187.980,28.778,156.019,155.829,253.176,213.755,175.630,4135.560,4.986
5,SUM_d5a6b899-d443-4956-82f7-6543334134db.tif:dendrite 1 background:1,1.137,134.254,1.295,132.896,132.434,137.259,152.663,133.808,2953.598,4.986
6,SUM_d5a6b899-d443-4956-82f7-6543334134db.tif:dendrite 2:1,0.620,144.303,4.984,144.056,133.915,150.828,89.503,143.907,1731.630,2.571
7,SUM_d5a6b899-d443-4956-82f7-6543334134db.tif:dendrite 2 background:1,0.620,132.992,1.143,132.036,132.030,135.500,82.488,132.514,1595.901,2.571
8,SUM_d5a6b899-d443-4956-82f7-6543334134db.tif:dendrite 3:1,0.724,160.485,17.119,139.001,138.893,193.773,116.130,155.106,2246.784,3.075
9,SUM_d5a6b899-d443-4956-82f7-6543334134db.tif:dendrite 3 background:1,0.724,133.965,1.185,132.289,132.280,136.829,96.940,133.820,1875.512,3.075
10,SUM_d5a6b899-d443-4956-82f7-6543334134db.tif:AIS:1,5.944,243.597,48.577,212.119,165.416,377.027,1447.945,230.636,28013.639,26.004
11,SUM_d5a6b899-d443-4956-82f7-6543334134db.tif:AIS background:1,5.944,134.598,4.548,133.274,132.019,165.836,800.053,133.712,15478.768,26.004
12,SUM_d5a6b899-d443-4956-82f7-6543334134db.tif:axon:1,29.255,224.997,40.628,206.552,153.470,489.000,6582.269,216.536,127348.284,128.586
13,SUM_d5a6b899-d443-4956-82f7-6543334134db.tif:axon background:1,29.255,134.513,6.535,132.143,132.000,205.279,3935.161,133.327,76134.231,128.586
14,SUM_d5a6b899-d443-4956-82f7-6543334134db.tif:growth cone:1,87.506,171.311,41.690,137.537,132.000,447.000,14990.770,159.000,290029.000,0.000
15,SUM_d5a6b899-d443-4956-82f7-6543334134db.tif:growth cone background:1,87.403,133.648,3.244,132.113,132.000,190.000,11681.242,133.000,225999.000,0.000
