 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,SUM_033bf5e3-3dd6-468f-b575-25b05346a60b.tif:cell body:1,173.720,454.050,331.160,146.455,120.000,1625.000,0.000,0.000,78877.834,300.000,1526063.000,0,0.000
2,SUM_033bf5e3-3dd6-468f-b575-25b05346a60b.tif:nucleus:1,54.788,838.162,221.970,678.291,366.000,1625.000,0.000,0.000,45921.544,804.000,888452.000,0,0.000
3,SUM_033bf5e3-3dd6-468f-b575-25b05346a60b.tif:cytoplasm:1,118.932,277.102,195.451,151.408,120.000,1357.000,0.000,0.000,32956.290,194.000,637611.000,0,0.000
4,SUM_033bf5e3-3dd6-468f-b575-25b05346a60b.tif:dendrite 1:1,0.000,118.000,0.000,118.000,118.000,118.000,35.864,13.129,6.099,118.000,118.000,1,0.000
5,SUM_033bf5e3-3dd6-468f-b575-25b05346a60b.tif:dendrite 1 background:1,0.000,117.000,0.000,117.000,117.000,117.000,38.138,15.403,6.047,117.000,117.000,1,0.000
6,SUM_033bf5e3-3dd6-468f-b575-25b05346a60b.tif:dendrite 2:1,0.000,118.000,0.000,118.000,118.000,118.000,35.864,13.129,6.099,118.000,118.000,1,0.000
7,SUM_033bf5e3-3dd6-468f-b575-25b05346a60b.tif:dendrite 2 background:1,0.000,117.000,0.000,117.000,117.000,117.000,38.138,15.403,6.047,117.000,117.000,1,0.000
8,SUM_033bf5e3-3dd6-468f-b575-25b05346a60b.tif:dendrite 3:1,0.000,118.000,0.000,118.000,118.000,118.000,35.864,13.129,6.099,118.000,118.000,1,0.000
9,SUM_033bf5e3-3dd6-468f-b575-25b05346a60b.tif:dendrite 3 background:1,0.000,117.000,0.000,117.000,117.000,117.000,38.138,15.403,6.047,117.000,117.000,1,0.000
10,SUM_033bf5e3-3dd6-468f-b575-25b05346a60b.tif:AIS:1,4.187,288.540,45.871,253.846,212.624,399.397,0.000,0.000,1208.020,281.778,23371.775,0,18.390
11,SUM_033bf5e3-3dd6-468f-b575-25b05346a60b.tif:AIS background:1,4.187,121.237,4.621,117.060,117.017,139.179,0.000,0.000,507.579,119.726,9820.209,0,18.390
12,SUM_033bf5e3-3dd6-468f-b575-25b05346a60b.tif:axon:1,13.800,212.367,67.779,138.601,126.176,461.000,0.000,0.000,2930.767,199.867,56702.046,0,60.556
13,SUM_033bf5e3-3dd6-468f-b575-25b05346a60b.tif:axon background:1,13.800,120.676,6.038,118.429,117.000,183.500,0.000,0.000,1665.380,119.180,32220.393,0,60.556
14,SUM_033bf5e3-3dd6-468f-b575-25b05346a60b.tif:growth cone:1,27.859,148.692,26.177,130.068,118.000,285.000,0.000,0.000,4142.466,141.000,80145.000,0,0.000
15,SUM_033bf5e3-3dd6-468f-b575-25b05346a60b.tif:growth cone background:1,27.911,119.307,2.390,119.020,117.000,139.000,0.000,0.000,3329.996,119.000,64426.000,0,0.000
