 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_e1c908df-9e90-4c59-8234-f0c834f59308.tif:cell body:1,254.094,689.652,567.244,193.955,148.000,2287.000,175236.363,391.500,3390328.000,0.000
2,SUM_e1c908df-9e90-4c59-8234-f0c834f59308.tif:nucleus:1,62.025,1504.381,315.299,1697.717,436.000,2287.000,93308.574,1540.500,1805257.000,0.000
3,SUM_e1c908df-9e90-4c59-8234-f0c834f59308.tif:cytoplasm:1,192.069,426.553,331.607,184.051,148.000,1826.000,81927.789,293.000,1585071.000,0.000
4,SUM_e1c908df-9e90-4c59-8234-f0c834f59308.tif:dendrite 1:1,1.344,189.649,27.046,156.483,147.587,248.807,254.863,190.762,4930.870,5.788
5,SUM_e1c908df-9e90-4c59-8234-f0c834f59308.tif:dendrite 1 background:1,1.344,146.664,12.453,141.579,138.407,190.800,197.097,141.980,3813.265,5.788
6,SUM_e1c908df-9e90-4c59-8234-f0c834f59308.tif:dendrite 2:1,2.946,226.729,27.084,192.461,185.777,283.544,667.981,222.208,12923.535,12.916
7,SUM_e1c908df-9e90-4c59-8234-f0c834f59308.tif:dendrite 2 background:1,2.946,147.349,8.414,140.967,140.874,188.806,434.113,144.681,8398.865,12.916
8,SUM_e1c908df-9e90-4c59-8234-f0c834f59308.tif:dendrite 3:1,1.654,209.738,40.907,176.528,153.850,312.908,346.904,201.252,6711.615,7.274
9,SUM_e1c908df-9e90-4c59-8234-f0c834f59308.tif:dendrite 3 background:1,1.654,146.569,8.059,141.658,139.732,173.730,242.423,143.586,4690.194,7.274
10,SUM_e1c908df-9e90-4c59-8234-f0c834f59308.tif:AIS:1,7.650,207.672,24.297,180.202,164.059,268.681,1588.629,206.943,30735.473,33.598
11,SUM_e1c908df-9e90-4c59-8234-f0c834f59308.tif:AIS background:1,7.650,142.547,5.597,139.087,138.000,170.733,1090.440,140.384,21096.939,33.598
