 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_4701a530-7665-4d90-8f87-8b472ee6f43a.tif:cell body:1,253.215,349.878,198.854,146.531,125.000,973.000,88594.500,273.000,1714053.000,0.000
2,SUM_4701a530-7665-4d90-8f87-8b472ee6f43a.tif:nucleus:1,70.346,609.840,95.349,600.182,236.000,973.000,42899.914,615.000,829992.000,0.000
3,SUM_4701a530-7665-4d90-8f87-8b472ee6f43a.tif:cytoplasm:1,182.869,249.876,123.514,157.883,125.000,857.000,45694.586,212.000,884061.000,0.000
4,SUM_4701a530-7665-4d90-8f87-8b472ee6f43a.tif:dendrite 1:1,6.513,219.402,36.388,211.485,157.784,381.320,1428.875,217.182,27644.688,28.599
5,SUM_4701a530-7665-4d90-8f87-8b472ee6f43a.tif:dendrite 1 background:1,6.513,125.931,2.279,123.889,123.159,139.408,820.133,125.430,15867.245,28.599
6,SUM_4701a530-7665-4d90-8f87-8b472ee6f43a.tif:dendrite 2:1,2.688,172.509,18.758,163.836,146.464,225.177,463.657,168.436,8970.457,11.679
7,SUM_4701a530-7665-4d90-8f87-8b472ee6f43a.tif:dendrite 2 background:1,2.688,127.577,4.960,124.118,123.427,150.636,342.894,125.963,6634.023,11.679
8,SUM_4701a530-7665-4d90-8f87-8b472ee6f43a.tif:dendrite 3:1,2.326,136.175,7.122,129.433,127.509,155.657,316.733,133.847,6127.879,10.218
9,SUM_4701a530-7665-4d90-8f87-8b472ee6f43a.tif:dendrite 3 background:1,2.326,126.619,5.897,124.013,123.149,152.638,294.505,124.480,5697.833,10.218
10,SUM_4701a530-7665-4d90-8f87-8b472ee6f43a.tif:AIS:1,4.290,165.287,16.006,141.654,141.508,216.414,709.086,162.348,13718.809,18.802
11,SUM_4701a530-7665-4d90-8f87-8b472ee6f43a.tif:AIS background:1,4.290,128.177,6.586,125.578,123.085,164.264,549.884,125.916,10638.706,18.802
12,SUM_4701a530-7665-4d90-8f87-8b472ee6f43a.tif:axon:1,23.518,174.504,23.311,160.034,132.046,289.516,4103.921,169.780,79399.263,103.476
13,SUM_4701a530-7665-4d90-8f87-8b472ee6f43a.tif:axon background:1,23.518,127.855,6.587,124.858,123.000,178.946,3006.852,125.978,58174.080,103.476
14,SUM_4701a530-7665-4d90-8f87-8b472ee6f43a.tif:growth cone:1,20.933,144.753,22.724,126.146,123.000,302.000,3030.159,138.000,58625.000,0.000
15,SUM_4701a530-7665-4d90-8f87-8b472ee6f43a.tif:growth cone background:1,20.933,124.916,2.393,123.045,123.000,146.000,2614.904,124.000,50591.000,0.000
