 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,SUM_63952e07-339d-4260-b7ef-7c17b69dc5aa.tif:cell body:1,241.431,475.937,422.325,160.822,126.000,2107.000,0.000,0.000,114905.839,263.000,2223103.000,0,0.000
2,SUM_63952e07-339d-4260-b7ef-7c17b69dc5aa.tif:nucleus:1,46.725,1237.012,272.115,1061.580,672.000,2107.000,0.000,0.000,57799.611,1185.000,1118259.000,0,0.000
3,SUM_63952e07-339d-4260-b7ef-7c17b69dc5aa.tif:cytoplasm:1,194.705,293.295,176.094,158.080,126.000,1221.000,0.000,0.000,57106.228,222.000,1104844.000,0,0.000
4,SUM_63952e07-339d-4260-b7ef-7c17b69dc5aa.tif:dendrite 1:1,1.602,170.122,12.524,176.711,147.618,196.456,0.000,0.000,272.587,168.212,5273.779,0,7.029
5,SUM_63952e07-339d-4260-b7ef-7c17b69dc5aa.tif:dendrite 1 background:1,1.602,124.783,1.341,124.164,123.000,128.674,0.000,0.000,199.940,124.308,3868.266,0,7.029
6,SUM_63952e07-339d-4260-b7ef-7c17b69dc5aa.tif:dendrite 2:1,0.000,124.000,0.000,124.000,124.000,124.000,38.384,45.432,6.409,124.000,124.000,1,0.000
7,SUM_63952e07-339d-4260-b7ef-7c17b69dc5aa.tif:dendrite 2 background:1,0.000,123.000,0.000,123.000,123.000,123.000,40.657,47.705,6.358,123.000,123.000,1,0.000
8,SUM_63952e07-339d-4260-b7ef-7c17b69dc5aa.tif:dendrite 3:1,0.000,124.000,0.000,124.000,124.000,124.000,38.384,45.432,6.409,124.000,124.000,1,0.000
9,SUM_63952e07-339d-4260-b7ef-7c17b69dc5aa.tif:dendrite 3 background:1,0.000,123.000,0.000,123.000,123.000,123.000,40.657,47.705,6.358,123.000,123.000,1,0.000
10,SUM_63952e07-339d-4260-b7ef-7c17b69dc5aa.tif:AIS:1,5.634,184.269,24.621,156.320,144.370,255.611,0.000,0.000,1038.156,181.662,20085.374,0,24.559
11,SUM_63952e07-339d-4260-b7ef-7c17b69dc5aa.tif:AIS background:1,5.634,129.816,7.990,125.260,123.134,163.448,0.000,0.000,731.370,126.433,14149.935,0,24.559
12,SUM_63952e07-339d-4260-b7ef-7c17b69dc5aa.tif:axon:1,21.450,164.629,21.749,148.229,131.049,254.938,0.000,0.000,3531.323,161.020,68321.106,0,94.377
13,SUM_63952e07-339d-4260-b7ef-7c17b69dc5aa.tif:axon background:1,21.450,126.950,8.261,124.104,123.000,203.762,0.000,0.000,2723.093,125.083,52684.145,0,94.377
14,SUM_63952e07-339d-4260-b7ef-7c17b69dc5aa.tif:growth cone:1,33.958,134.843,9.701,128.963,123.000,194.000,0.000,0.000,4579.067,132.000,88592.000,0,0.000
15,SUM_63952e07-339d-4260-b7ef-7c17b69dc5aa.tif:growth cone background:1,33.958,124.317,1.602,123.025,123.000,136.000,0.000,0.000,4221.599,124.000,81676.000,0,0.000
