 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_37c8aa27-6765-4d42-a99d-627034849793.tif:cell body:1,486.686,335.152,249.594,121.898,111.000,1227.000,163113.867,211.000,3155792.000,0.000
2,SUM_37c8aa27-6765-4d42-a99d-627034849793.tif:nucleus:1,76.135,755.938,167.744,774.814,216.000,1227.000,57553.425,763.000,1113496.000,0.000
3,SUM_37c8aa27-6765-4d42-a99d-627034849793.tif:cytoplasm:1,410.551,257.119,172.357,129.562,111.000,975.000,105560.442,180.000,2042296.000,0.000
4,SUM_37c8aa27-6765-4d42-a99d-627034849793.tif:dendrite 1:1,2.533,130.255,8.694,125.709,115.329,158.538,329.892,129.666,6382.473,10.944
5,SUM_37c8aa27-6765-4d42-a99d-627034849793.tif:dendrite 1 background:1,2.533,112.729,1.422,111.013,111.000,117.640,285.504,112.360,5523.702,10.944
6,SUM_37c8aa27-6765-4d42-a99d-627034849793.tif:dendrite 2:1,3.411,150.507,14.898,149.313,119.073,190.422,513.434,148.185,9933.488,14.913
7,SUM_37c8aa27-6765-4d42-a99d-627034849793.tif:dendrite 2 background:1,3.411,112.454,1.460,111.011,111.000,116.862,383.621,111.979,7421.979,14.913
8,SUM_37c8aa27-6765-4d42-a99d-627034849793.tif:dendrite 3:1,5.841,153.574,23.039,133.779,114.000,227.782,896.974,148.769,17353.917,25.486
9,SUM_37c8aa27-6765-4d42-a99d-627034849793.tif:dendrite 3 background:1,5.841,114.771,7.178,113.382,111.103,161.846,670.336,113.282,12969.106,25.486
10,SUM_37c8aa27-6765-4d42-a99d-627034849793.tif:AIS:1,8.115,204.068,28.224,189.355,148.994,314.314,1655.991,201.332,32038.736,35.641
11,SUM_37c8aa27-6765-4d42-a99d-627034849793.tif:AIS background:1,8.115,113.136,2.329,111.716,111.016,128.068,918.086,112.566,17762.358,35.641
12,SUM_37c8aa27-6765-4d42-a99d-627034849793.tif:axon:1,23.518,197.719,33.489,181.559,132.836,335.650,4649.879,194.350,89962.005,103.337
13,SUM_37c8aa27-6765-4d42-a99d-627034849793.tif:axon background:1,23.518,114.381,7.225,111.964,111.000,181.490,2689.978,112.542,52043.473,103.337
14,SUM_37c8aa27-6765-4d42-a99d-627034849793.tif:growth cone:1,110.714,140.934,27.712,116.449,111.000,421.000,15603.314,133.000,301880.000,0.000
15,SUM_37c8aa27-6765-4d42-a99d-627034849793.tif:growth cone background:1,110.714,113.206,3.757,111.139,111.000,182.000,12533.460,112.000,242487.000,0.000
