 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,SUM_157e727c-c54f-4fc7-aba7-8be04808dcf3.tif:cell body:1,388.429,440.063,358.209,148.379,130.000,2012.000,0.000,0.000,170933.150,265.000,3307073.000,0,0.000
2,SUM_157e727c-c54f-4fc7-aba7-8be04808dcf3.tif:nucleus:1,66.263,1044.977,226.836,864.496,478.000,2012.000,0.000,0.000,69243.196,991.000,1339660.000,0,0.000
3,SUM_157e727c-c54f-4fc7-aba7-8be04808dcf3.tif:cytoplasm:1,322.166,315.645,231.033,147.832,130.000,1956.000,0.000,0.000,101689.954,235.000,1967413.000,0,0.000
4,SUM_157e727c-c54f-4fc7-aba7-8be04808dcf3.tif:dendrite 1:1,0.000,135.000,0.000,135.000,135.000,135.000,49.903,14.778,6.978,135.000,135.000,1,0.000
5,SUM_157e727c-c54f-4fc7-aba7-8be04808dcf3.tif:dendrite 1 background:1,0.000,130.000,0.000,130.000,130.000,130.000,52.176,17.051,6.719,130.000,130.000,1,0.000
6,SUM_157e727c-c54f-4fc7-aba7-8be04808dcf3.tif:dendrite 2:1,0.000,135.000,0.000,135.000,135.000,135.000,49.903,14.778,6.978,135.000,135.000,1,0.000
7,SUM_157e727c-c54f-4fc7-aba7-8be04808dcf3.tif:dendrite 2 background:1,0.000,130.000,0.000,130.000,130.000,130.000,52.176,17.051,6.719,130.000,130.000,1,0.000
8,SUM_157e727c-c54f-4fc7-aba7-8be04808dcf3.tif:dendrite 3:1,0.000,135.000,0.000,135.000,135.000,135.000,49.903,14.778,6.978,135.000,135.000,1,0.000
9,SUM_157e727c-c54f-4fc7-aba7-8be04808dcf3.tif:dendrite 3 background:1,0.000,130.000,0.000,130.000,130.000,130.000,52.176,17.051,6.719,130.000,130.000,1,0.000
10,SUM_157e727c-c54f-4fc7-aba7-8be04808dcf3.tif:AIS:1,5.634,176.225,22.630,159.052,132.953,239.853,0.000,0.000,992.831,175.724,19208.473,0,24.575
11,SUM_157e727c-c54f-4fc7-aba7-8be04808dcf3.tif:AIS background:1,5.634,131.034,3.214,129.235,129.002,152.846,0.000,0.000,738.230,130.201,14282.665,0,24.575
12,SUM_157e727c-c54f-4fc7-aba7-8be04808dcf3.tif:axon:1,56.959,194.906,66.284,148.738,130.443,623.462,0.000,0.000,11101.699,178.595,214786.470,0,250.726
13,SUM_157e727c-c54f-4fc7-aba7-8be04808dcf3.tif:axon background:1,56.959,131.066,5.471,129.138,129.000,199.657,0.000,0.000,7465.431,130.112,144434.974,0,250.726
14,SUM_157e727c-c54f-4fc7-aba7-8be04808dcf3.tif:growth cone:1,18.969,294.243,138.339,167.939,130.000,685.000,0.000,0.000,5581.539,249.000,107987.000,0,0.000
15,SUM_157e727c-c54f-4fc7-aba7-8be04808dcf3.tif:growth cone background:1,18.969,144.610,21.407,131.092,129.000,282.000,0.000,0.000,2743.140,135.000,53072.000,0,0.000
