 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_40d3acf6-f1f0-44f1-a4ff-b899b23c2fe6.tif:cell body:1,184.161,572.157,510.798,179.275,152.000,2147.000,105369.096,288.000,2038594.000,0.000
2,SUM_40d3acf6-f1f0-44f1-a4ff-b899b23c2fe6.tif:nucleus:1,43.159,1359.077,289.502,1180.789,447.000,2147.000,58656.067,1365.000,1134829.000,0.000
3,SUM_40d3acf6-f1f0-44f1-a4ff-b899b23c2fe6.tif:cytoplasm:1,141.003,331.292,259.859,178.578,152.000,2096.000,46713.029,235.000,903765.000,0.000
4,SUM_40d3acf6-f1f0-44f1-a4ff-b899b23c2fe6.tif:dendrite 1:1,3.411,186.150,13.117,172.864,158.391,216.741,635.024,186.045,12285.925,14.997
5,SUM_40d3acf6-f1f0-44f1-a4ff-b899b23c2fe6.tif:dendrite 1 background:1,3.411,151.142,0.997,150.008,150.000,154.158,515.598,150.820,9975.360,14.997
6,SUM_40d3acf6-f1f0-44f1-a4ff-b899b23c2fe6.tif:dendrite 2:1,4.962,199.707,28.090,185.361,158.918,295.675,990.940,194.984,19171.892,21.748
7,SUM_40d3acf6-f1f0-44f1-a4ff-b899b23c2fe6.tif:dendrite 2 background:1,4.962,152.492,2.469,150.437,150.000,163.161,756.659,151.865,14639.203,21.748
8,SUM_40d3acf6-f1f0-44f1-a4ff-b899b23c2fe6.tif:dendrite 3:1,1.085,171.905,14.028,155.936,155.815,218.043,186.591,167.728,3610.013,4.699
9,SUM_40d3acf6-f1f0-44f1-a4ff-b899b23c2fe6.tif:dendrite 3 background:1,1.085,152.278,1.361,151.867,150.000,155.864,165.287,152.193,3197.845,4.699
10,SUM_40d3acf6-f1f0-44f1-a4ff-b899b23c2fe6.tif:AIS:1,5.686,212.030,23.403,210.845,173.889,297.558,1205.514,210.903,23323.280,25.003
11,SUM_40d3acf6-f1f0-44f1-a4ff-b899b23c2fe6.tif:AIS background:1,5.686,154.805,11.437,150.375,150.000,213.950,880.160,151.653,17028.599,25.003
12,SUM_40d3acf6-f1f0-44f1-a4ff-b899b23c2fe6.tif:axon:1,15.403,225.380,32.266,230.057,164.887,374.742,3471.482,221.538,67163.356,67.618
13,SUM_40d3acf6-f1f0-44f1-a4ff-b899b23c2fe6.tif:axon background:1,15.403,152.205,5.342,150.118,150.000,210.240,2344.375,151.487,45357.029,67.618
14,SUM_40d3acf6-f1f0-44f1-a4ff-b899b23c2fe6.tif:growth cone:1,28.531,226.482,51.042,161.646,154.000,415.000,6461.823,218.500,125018.000,0.000
15,SUM_40d3acf6-f1f0-44f1-a4ff-b899b23c2fe6.tif:growth cone background:1,28.531,151.853,2.800,150.051,150.000,176.000,4332.571,151.000,83823.000,0.000
