 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_d3ab3a17-3fdc-4f3f-be3f-c513b61ed430.tif:cell body:1,537.133,238.504,168.832,137.045,135.000,1182.000,128108.079,162.000,2478529.000,0.000
2,SUM_d3ab3a17-3fdc-4f3f-be3f-c513b61ed430.tif:nucleus:1,76.290,588.267,154.682,476.441,268.000,1150.000,44879.014,561.000,868282.000,0.000
3,SUM_d3ab3a17-3fdc-4f3f-be3f-c513b61ed430.tif:cytoplasm:1,460.843,180.602,75.217,137.045,135.000,1182.000,83229.064,155.000,1610247.000,0.000
4,SUM_d3ab3a17-3fdc-4f3f-be3f-c513b61ed430.tif:dendrite 1:1,2.843,146.885,7.406,140.341,135.661,168.483,417.562,146.048,8078.653,12.472
5,SUM_d3ab3a17-3fdc-4f3f-be3f-c513b61ed430.tif:dendrite 1 background:1,2.843,136.312,1.100,135.411,135.054,141.366,387.508,136.100,7497.177,12.472
6,SUM_d3ab3a17-3fdc-4f3f-be3f-c513b61ed430.tif:dendrite 2:1,2.119,194.694,29.200,165.625,152.927,280.406,412.590,184.992,7982.454,9.165
7,SUM_d3ab3a17-3fdc-4f3f-be3f-c513b61ed430.tif:dendrite 2 background:1,2.119,136.505,0.927,136.367,135.007,139.126,289.277,136.459,5596.696,9.165
8,SUM_d3ab3a17-3fdc-4f3f-be3f-c513b61ed430.tif:dendrite 3:1,1.344,150.454,7.830,142.263,139.092,166.612,202.190,149.613,3911.813,5.845
9,SUM_d3ab3a17-3fdc-4f3f-be3f-c513b61ed430.tif:dendrite 3 background:1,1.344,136.592,0.902,135.075,135.067,138.932,183.562,136.643,3551.398,5.845
10,SUM_d3ab3a17-3fdc-4f3f-be3f-c513b61ed430.tif:AIS:1,5.014,183.929,21.230,173.851,148.321,256.345,922.156,180.526,17841.113,21.903
11,SUM_d3ab3a17-3fdc-4f3f-be3f-c513b61ed430.tif:AIS background:1,5.014,136.564,1.203,136.183,135.000,140.660,684.684,136.268,13246.695,21.903
12,SUM_d3ab3a17-3fdc-4f3f-be3f-c513b61ed430.tif:axon:1,20.365,174.170,15.954,165.819,147.157,278.045,3546.935,171.707,68623.160,89.504
13,SUM_d3ab3a17-3fdc-4f3f-be3f-c513b61ed430.tif:axon background:1,20.365,137.505,3.598,136.046,135.000,170.690,2800.247,136.569,54176.863,89.504
14,SUM_d3ab3a17-3fdc-4f3f-be3f-c513b61ed430.tif:growth cone:1,59.389,153.222,44.954,139.301,135.000,869.000,9099.625,144.000,176052.000,0.000
15,SUM_d3ab3a17-3fdc-4f3f-be3f-c513b61ed430.tif:growth cone background:1,59.389,136.140,1.453,135.018,135.000,144.000,8085.161,136.000,156425.000,0.000
