 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_67bfa2b0-02cf-4bbf-8193-a0a6254d7c65.tif:cell body:1,356.745,313.965,217.055,148.379,135.000,1505.000,112005.363,214.000,2166987.000,0.000
2,SUM_67bfa2b0-02cf-4bbf-8193-a0a6254d7c65.tif:nucleus:1,60.836,649.750,197.112,650.223,251.000,1505.000,39528.051,609.000,764756.000,0.000
3,SUM_67bfa2b0-02cf-4bbf-8193-a0a6254d7c65.tif:cytoplasm:1,295.909,244.931,144.454,140.859,135.000,1135.000,72477.312,192.000,1402231.000,0.000
4,SUM_67bfa2b0-02cf-4bbf-8193-a0a6254d7c65.tif:dendrite 1:1,2.739,165.815,18.400,173.656,137.021,224.263,454.237,166.750,8788.197,11.904
5,SUM_67bfa2b0-02cf-4bbf-8193-a0a6254d7c65.tif:dendrite 1 background:1,2.739,137.874,2.427,136.267,135.237,148.097,377.695,137.312,7307.322,11.904
6,SUM_67bfa2b0-02cf-4bbf-8193-a0a6254d7c65.tif:dendrite 2:1,3.050,172.617,17.335,162.483,146.222,237.712,526.401,170.261,10184.376,13.327
7,SUM_67bfa2b0-02cf-4bbf-8193-a0a6254d7c65.tif:dendrite 2 background:1,3.050,146.872,11.980,137.675,135.550,187.349,447.893,141.437,8665.467,13.327
8,SUM_67bfa2b0-02cf-4bbf-8193-a0a6254d7c65.tif:dendrite 3:1,1.757,173.392,12.300,155.304,154.096,201.689,304.713,171.809,5895.340,7.675
9,SUM_67bfa2b0-02cf-4bbf-8193-a0a6254d7c65.tif:dendrite 3 background:1,1.757,138.063,2.170,136.755,135.498,143.254,242.627,137.324,4694.149,7.675
10,SUM_67bfa2b0-02cf-4bbf-8193-a0a6254d7c65.tif:AIS:1,7.908,160.031,10.582,156.177,140.386,207.206,1265.550,158.448,24484.810,34.608
11,SUM_67bfa2b0-02cf-4bbf-8193-a0a6254d7c65.tif:AIS background:1,7.908,137.169,2.098,135.025,135.000,147.957,1084.753,136.707,20986.906,34.608
