 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_BCAP31-biotin_DIV15_5_soma.tif:cell body:1,273.683,34.177,14.226,30.000,6.000,195.000,9353.667,34.000,180967.000,0.000
2,MAX_BCAP31-biotin_DIV15_5_soma.tif:nucleus:1,104.201,35.423,9.147,30.000,13.000,95.000,3691.082,35.000,71412.000,0.000
3,MAX_BCAP31-biotin_DIV15_5_soma.tif:cytoplasm:1,169.482,33.411,16.549,14.000,6.000,195.000,5662.585,32.000,109555.000,0.000
4,MAX_BCAP31-biotin_DIV15_5_soma.tif:dendrite 1:1,7.391,8.514,2.210,7.295,4.628,18.149,62.931,8.225,1217.528,32.483
5,MAX_BCAP31-biotin_DIV15_5_soma.tif:dendrite 1 background:1,7.391,5.465,2.569,4.029,3.003,19.945,40.393,4.623,781.489,32.483
6,MAX_BCAP31-biotin_DIV15_5_soma.tif:dendrite 2:1,4.497,23.583,8.943,15.509,10.255,43.462,106.049,23.276,2051.751,19.576
7,MAX_BCAP31-biotin_DIV15_5_soma.tif:dendrite 2 background:1,4.497,7.405,4.561,4.859,3.003,21.636,33.298,5.530,644.224,19.576
8,MAX_BCAP31-biotin_DIV15_5_soma.tif:dendrite 3:1,3.928,13.972,3.759,10.993,7.277,23.000,54.887,13.097,1061.900,17.273
9,MAX_BCAP31-biotin_DIV15_5_soma.tif:dendrite 3 background:1,3.928,6.249,2.920,3.990,3.775,19.533,24.548,5.000,474.937,17.273
10,MAX_BCAP31-biotin_DIV15_5_soma.tif:AIS:1,9.924,10.328,3.733,7.617,4.380,25.907,102.490,9.452,1982.896,43.553
11,MAX_BCAP31-biotin_DIV15_5_soma.tif:AIS background:1,9.924,6.368,13.534,3.798,3.006,138.074,63.200,4.069,1222.732,43.553
