 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,MAX_BCAP31-biotin_DIV3_4_BOTH.tif:cell body:1,202.975,15.009,9.792,7.000,3.000,121.000,0.000,0.000,3046.440,12.000,58940.000,0,0.000
2,MAX_BCAP31-biotin_DIV3_4_BOTH.tif:nucleus:1,48.948,17.644,9.898,15.000,4.000,121.000,0.000,0.000,863.640,15.000,16709.000,0,0.000
3,MAX_BCAP31-biotin_DIV3_4_BOTH.tif:cytoplasm:1,154.028,14.171,9.610,7.000,3.000,63.000,0.000,0.000,2182.800,11.000,42231.000,0,0.000
4,MAX_BCAP31-biotin_DIV3_4_BOTH.tif:dendrite 1:1,1.809,6.785,1.445,5.002,4.105,9.777,0.000,0.000,12.275,6.919,237.481,0,7.807
5,MAX_BCAP31-biotin_DIV3_4_BOTH.tif:dendrite 1 background:1,1.809,4.650,0.976,4.006,3.153,7.314,0.000,0.000,8.412,4.500,162.754,0,7.807
6,MAX_BCAP31-biotin_DIV3_4_BOTH.tif:dendrite 2:1,3.721,8.197,2.516,6.502,4.000,15.752,0.000,0.000,30.506,7.810,590.205,0,16.271
7,MAX_BCAP31-biotin_DIV3_4_BOTH.tif:dendrite 2 background:1,3.721,3.901,0.734,3.006,3.000,6.227,0.000,0.000,14.516,3.767,280.845,0,16.271
8,MAX_BCAP31-biotin_DIV3_4_BOTH.tif:dendrite 3:1,0.000,4.000,0.000,4.000,4.000,4.000,25.804,67.522,0.207,4.000,4.000,1,0.000
9,MAX_BCAP31-biotin_DIV3_4_BOTH.tif:dendrite 3 background:1,0.000,3.000,0.000,3.000,3.000,3.000,28.077,69.796,0.155,3.000,3.000,1,0.000
10,MAX_BCAP31-biotin_DIV3_4_BOTH.tif:AIS:1,3.618,20.919,7.265,16.834,10.244,49.026,0.000,0.000,75.685,19.765,1464.297,0,15.793
11,MAX_BCAP31-biotin_DIV3_4_BOTH.tif:AIS background:1,3.618,3.827,0.677,3.008,3.000,6.933,0.000,0.000,13.847,3.751,267.898,0,15.793
12,MAX_BCAP31-biotin_DIV3_4_BOTH.tif:axon:1,9.149,17.110,5.962,16.296,7.339,45.241,0.000,0.000,156.530,16.007,3028.417,0,40.036
13,MAX_BCAP31-biotin_DIV3_4_BOTH.tif:axon background:1,9.149,4.081,1.229,3.986,3.000,12.528,0.000,0.000,37.333,3.836,722.289,0,40.036
14,MAX_BCAP31-biotin_DIV3_4_BOTH.tif:growth cone:1,28.893,8.987,4.365,6.000,3.000,34.000,0.000,0.000,259.676,8.000,5024.000,0,0.000
15,MAX_BCAP31-biotin_DIV3_4_BOTH.tif:growth cone background:1,28.945,4.164,1.235,3.000,3.000,11.000,0.000,0.000,120.534,4.000,2332.000,0,0.000
