 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_BCAP31-biotin_DIV3_8_BOTH.tif:cell body:1,392.822,17.239,13.646,7.000,3.000,255.000,6771.791,14.000,131015.000,0.000
2,MAX_BCAP31-biotin_DIV3_8_BOTH.tif:nucleus:1,87.610,23.893,10.060,20.000,6.000,160.000,2093.226,22.000,40498.000,0.000
3,MAX_BCAP31-biotin_DIV3_8_BOTH.tif:cytoplasm:1,305.213,15.329,13.938,7.000,3.000,255.000,4678.565,11.000,90517.000,0.000
4,MAX_BCAP31-biotin_DIV3_8_BOTH.tif:dendrite 1:1,4.445,7.356,2.359,6.005,3.339,15.208,32.698,6.725,632.618,19.409
5,MAX_BCAP31-biotin_DIV3_8_BOTH.tif:dendrite 1 background:1,4.445,3.958,0.592,3.996,3.001,5.306,17.596,3.995,340.430,19.409
6,MAX_BCAP31-biotin_DIV3_8_BOTH.tif:dendrite 2:1,2.791,6.132,2.029,3.876,3.782,13.367,17.116,5.600,331.145,12.260
7,MAX_BCAP31-biotin_DIV3_8_BOTH.tif:dendrite 2 background:1,2.791,4.287,1.513,3.073,3.053,12.967,11.966,3.986,231.510,12.260
8,MAX_BCAP31-biotin_DIV3_8_BOTH.tif:dendrite 3:1,2.998,6.035,1.470,4.155,3.813,9.461,18.091,5.636,350.015,13.092
9,MAX_BCAP31-biotin_DIV3_8_BOTH.tif:dendrite 3 background:1,2.998,3.739,0.523,3.499,3.000,5.183,11.210,3.612,216.873,13.092
10,MAX_BCAP31-biotin_DIV3_8_BOTH.tif:AIS:1,5.737,14.091,5.235,12.406,5.825,33.219,80.841,13.268,1564.053,25.094
11,MAX_BCAP31-biotin_DIV3_8_BOTH.tif:AIS background:1,5.737,3.927,0.631,3.656,3.000,6.141,22.528,3.813,435.848,25.094
12,MAX_BCAP31-biotin_DIV3_8_BOTH.tif:axon:1,16.902,12.506,4.497,9.687,5.214,30.383,211.373,11.615,4089.477,74.193
13,MAX_BCAP31-biotin_DIV3_8_BOTH.tif:axon background:1,16.902,4.184,0.778,4.006,3.000,7.480,70.710,4.070,1368.037,74.193
14,MAX_BCAP31-biotin_DIV3_8_BOTH.tif:growth cone:1,48.896,7.316,3.386,5.000,3.000,26.000,357.727,6.000,6921.000,0.000
15,MAX_BCAP31-biotin_DIV3_8_BOTH.tif:growth cone background:1,48.896,3.966,1.043,3.000,3.000,10.000,193.930,4.000,3752.000,0.000
