 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_ERGIC53_DIV15_6_soma.tif:cell body:1,214.347,34.112,12.196,38.000,5.000,250.000,7311.715,36.000,141461.000,0.000
2,MAX_ERGIC53_DIV15_6_soma.tif:nucleus:1,79.857,37.360,10.047,38.000,19.000,250.000,2983.433,37.000,57721.000,0.000
3,MAX_ERGIC53_DIV15_6_soma.tif:cytoplasm:1,134.490,32.183,12.930,38.000,5.000,240.000,4328.281,34.000,83740.000,0.000
4,MAX_ERGIC53_DIV15_6_soma.tif:dendrite 1:1,6.616,11.289,3.445,9.156,5.780,21.636,74.691,10.501,1445.054,29.099
5,MAX_ERGIC53_DIV15_6_soma.tif:dendrite 1 background:1,6.616,6.746,3.388,4.992,3.520,23.887,44.633,5.645,863.520,29.099
6,MAX_ERGIC53_DIV15_6_soma.tif:dendrite 2:1,6.306,14.976,2.891,12.567,10.372,23.593,94.437,14.628,1827.086,27.607
7,MAX_ERGIC53_DIV15_6_soma.tif:dendrite 2 background:1,6.306,6.441,3.409,5.022,3.691,25.669,40.616,5.098,785.799,27.607
8,MAX_ERGIC53_DIV15_6_soma.tif:dendrite 3:1,5.892,23.085,5.750,21.644,13.410,61.869,136.023,21.787,2631.651,25.910
9,MAX_ERGIC53_DIV15_6_soma.tif:dendrite 3 background:1,5.892,17.356,9.775,7.015,5.097,62.858,102.269,15.694,1978.625,25.910
10,MAX_ERGIC53_DIV15_6_soma.tif:AIS:1,6.978,13.449,21.292,6.977,4.856,159.986,93.846,7.998,1815.653,30.473
11,MAX_ERGIC53_DIV15_6_soma.tif:AIS background:1,6.978,7.501,6.225,4.035,3.230,49.013,52.341,5.872,1012.653,30.473
