 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,MAX_ERGIC53_DIV3_2_soma.tif:cell body:1,357.727,31.497,21.709,7.000,3.000,210.000,0.000,0.000,11267.280,29.000,217990.000,0,0.000
2,MAX_ERGIC53_DIV3_2_soma.tif:nucleus:1,119.035,53.210,15.695,49.000,22.000,190.000,0.000,0.000,6333.846,51.000,122542.000,0,0.000
3,MAX_ERGIC53_DIV3_2_soma.tif:cytoplasm:1,238.691,20.669,15.201,7.000,3.000,210.000,0.000,0.000,4933.434,16.000,95448.000,0,0.000
4,MAX_ERGIC53_DIV3_2_soma.tif:dendrite 1:1,1.912,8.682,3.311,4.259,4.230,19.117,0.000,0.000,16.603,8.276,321.228,0,8.309
5,MAX_ERGIC53_DIV3_2_soma.tif:dendrite 1 background:1,1.912,4.643,1.372,3.989,3.000,8.689,0.000,0.000,8.879,4.193,171.785,0,8.309
6,MAX_ERGIC53_DIV3_2_soma.tif:dendrite 2:1,0.000,5.000,0.000,5.000,5.000,5.000,69.910,73.471,0.258,5.000,5.000,1,0.000
7,MAX_ERGIC53_DIV3_2_soma.tif:dendrite 2 background:1,0.000,3.000,0.000,3.000,3.000,3.000,72.183,75.745,0.155,3.000,3.000,1,0.000
8,MAX_ERGIC53_DIV3_2_soma.tif:dendrite 3:1,0.000,5.000,0.000,5.000,5.000,5.000,69.910,73.471,0.258,5.000,5.000,1,0.000
9,MAX_ERGIC53_DIV3_2_soma.tif:dendrite 3 background:1,0.000,3.000,0.000,3.000,3.000,3.000,72.183,75.745,0.155,3.000,3.000,1,0.000
10,MAX_ERGIC53_DIV3_2_soma.tif:AIS:1,9.355,12.112,9.200,7.425,4.641,72.530,0.000,0.000,113.315,9.910,2192.325,0,41.131
11,MAX_ERGIC53_DIV3_2_soma.tif:AIS background:1,9.355,4.247,0.804,4.008,3.000,7.914,0.000,0.000,39.728,4.168,768.618,0,41.131
