 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,MAX_ERGIC53_DIV3_6_BOTH.tif:cell body:1,339.481,30.460,23.831,7.000,4.000,239.000,0.000,0.000,10340.581,23.000,200061.000,0,0.000
2,MAX_ERGIC53_DIV3_6_BOTH.tif:nucleus:1,74.585,59.100,20.765,47.000,18.000,192.000,0.000,0.000,4407.983,56.000,85282.000,0,0.000
3,MAX_ERGIC53_DIV3_6_BOTH.tif:cytoplasm:1,264.897,22.396,17.620,7.000,4.000,239.000,0.000,0.000,5932.598,17.000,114779.000,0,0.000
4,MAX_ERGIC53_DIV3_6_BOTH.tif:dendrite 1:1,3.411,7.860,3.768,5.693,4.000,28.768,0.000,0.000,26.814,6.921,518.783,0,14.978
5,MAX_ERGIC53_DIV3_6_BOTH.tif:dendrite 1 background:1,3.411,4.167,0.865,4.160,3.000,8.549,0.000,0.000,14.215,4.090,275.020,0,14.978
6,MAX_ERGIC53_DIV3_6_BOTH.tif:dendrite 2:1,4.135,9.820,6.283,4.716,4.000,32.187,0.000,0.000,40.607,7.314,785.635,0,18.136
7,MAX_ERGIC53_DIV3_6_BOTH.tif:dendrite 2 background:1,4.135,4.084,0.726,4.007,3.000,6.820,0.000,0.000,16.888,4.008,326.735,0,18.136
8,MAX_ERGIC53_DIV3_6_BOTH.tif:dendrite 3:1,0.000,3.000,0.000,3.000,3.000,3.000,36.376,89.348,0.155,3.000,3.000,1,0.000
9,MAX_ERGIC53_DIV3_6_BOTH.tif:dendrite 3 background:1,0.000,3.000,0.000,3.000,3.000,3.000,38.649,91.621,0.155,3.000,3.000,1,0.000
10,MAX_ERGIC53_DIV3_6_BOTH.tif:AIS:1,5.324,10.050,3.241,7.971,4.100,22.975,0.000,0.000,53.506,9.594,1035.188,0,23.330
11,MAX_ERGIC53_DIV3_6_BOTH.tif:AIS background:1,5.324,4.194,0.914,3.997,3.000,11.366,0.000,0.000,22.328,4.097,431.984,0,23.330
12,MAX_ERGIC53_DIV3_6_BOTH.tif:axon:1,11.164,9.734,3.236,7.167,4.591,24.880,0.000,0.000,108.679,9.225,2102.633,0,48.984
13,MAX_ERGIC53_DIV3_6_BOTH.tif:axon background:1,11.164,4.310,1.257,3.997,3.000,16.793,0.000,0.000,48.120,4.130,930.986,0,48.984
14,MAX_ERGIC53_DIV3_6_BOTH.tif:growth cone:1,45.640,10.119,6.249,6.000,3.000,69.000,0.000,0.000,461.825,8.000,8935.000,0,0.000
15,MAX_ERGIC53_DIV3_6_BOTH.tif:growth cone background:1,45.640,4.217,1.889,4.000,3.000,32.000,0.000,0.000,192.483,4.000,3724.000,0,0.000
