 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_ERGIC53_DIV3_8_BOTH.tif:cell body:1,267.171,40.328,33.468,7.000,4.000,248.000,10774.340,26.000,208453.000,0.000
2,MAX_ERGIC53_DIV3_8_BOTH.tif:nucleus:1,74.223,84.998,18.452,78.000,14.000,248.000,6308.777,84.000,122057.000,0.000
3,MAX_ERGIC53_DIV3_8_BOTH.tif:cytoplasm:1,192.948,23.144,18.895,7.000,4.000,193.000,4465.562,17.000,86396.000,0.000
4,MAX_ERGIC53_DIV3_8_BOTH.tif:dendrite 1:1,0.930,7.641,2.599,6.128,4.062,13.100,7.109,7.019,137.542,3.955
5,MAX_ERGIC53_DIV3_8_BOTH.tif:dendrite 1 background:1,0.930,4.281,0.575,3.999,3.332,5.379,3.983,4.078,77.060,3.955
6,MAX_ERGIC53_DIV3_8_BOTH.tif:dendrite 2:1,1.396,8.320,2.854,5.765,4.394,19.332,11.612,8.115,224.651,5.957
7,MAX_ERGIC53_DIV3_8_BOTH.tif:dendrite 2 background:1,1.396,4.455,0.578,4.193,3.373,5.949,6.217,4.371,120.280,5.957
8,MAX_ERGIC53_DIV3_8_BOTH.tif:dendrite 3:1,1.757,7.374,4.028,5.327,4.121,25.412,12.958,6.178,250.706,7.684
9,MAX_ERGIC53_DIV3_8_BOTH.tif:dendrite 3 background:1,1.757,5.424,2.620,3.992,3.919,16.347,9.531,4.430,184.400,7.684
10,MAX_ERGIC53_DIV3_8_BOTH.tif:AIS:1,5.892,14.354,8.600,13.333,5.197,65.569,84.576,12.871,1636.310,25.854
11,MAX_ERGIC53_DIV3_8_BOTH.tif:AIS background:1,5.892,5.051,1.249,4.670,3.000,8.896,29.765,4.667,575.865,25.854
12,MAX_ERGIC53_DIV3_8_BOTH.tif:axon:1,24.603,10.476,5.977,8.721,4.261,83.000,257.730,9.360,4986.339,108.204
13,MAX_ERGIC53_DIV3_8_BOTH.tif:axon background:1,24.603,4.375,0.829,3.991,3.011,8.079,107.629,4.227,2082.324,108.204
14,MAX_ERGIC53_DIV3_8_BOTH.tif:growth cone:1,18.401,10.787,6.159,7.000,4.000,42.000,198.479,9.000,3840.000,0.000
15,MAX_ERGIC53_DIV3_8_BOTH.tif:growth cone background:1,18.401,4.185,1.037,4.000,3.000,10.000,77.014,4.000,1490.000,0.000
