 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,MAX_SURF4_DIV15_3_soma.tif:cell body:1,234.505,13.175,4.231,14.000,4.000,24.000,0.000,0.000,3089.547,13.000,59774.000,0,0.000
2,MAX_SURF4_DIV15_3_soma.tif:nucleus:1,81.252,17.342,2.396,18.000,11.000,24.000,0.000,0.000,1409.095,17.000,27262.000,0,0.000
3,MAX_SURF4_DIV15_3_soma.tif:cytoplasm:1,153.252,10.965,3.202,11.000,4.000,21.000,0.000,0.000,1680.452,11.000,32512.000,0,0.000
4,MAX_SURF4_DIV15_3_soma.tif:dendrite 1:1,7.598,8.593,1.130,8.991,6.106,13.108,0.000,0.000,65.289,8.540,1263.155,0,33.256
5,MAX_SURF4_DIV15_3_soma.tif:dendrite 1 background:1,7.598,4.859,1.072,4.009,4.000,8.660,0.000,0.000,36.915,4.477,714.205,0,33.256
6,MAX_SURF4_DIV15_3_soma.tif:dendrite 2:1,7.753,13.008,3.908,8.477,6.987,23.215,0.000,0.000,100.854,12.014,1951.236,0,33.896
7,MAX_SURF4_DIV15_3_soma.tif:dendrite 2 background:1,7.753,4.521,1.153,4.014,4.000,11.127,0.000,0.000,35.054,4.000,678.188,0,33.896
8,MAX_SURF4_DIV15_3_soma.tif:dendrite 3:1,0.000,4.000,0.000,4.000,4.000,4.000,41.150,16.824,0.207,4.000,4.000,3,0.000
9,MAX_SURF4_DIV15_3_soma.tif:dendrite 3 background:1,0.000,4.000,0.000,4.000,4.000,4.000,43.423,19.097,0.207,4.000,4.000,3,0.000
10,MAX_SURF4_DIV15_3_soma.tif:AIS:1,8.012,6.676,2.285,5.008,4.000,18.751,0.000,0.000,53.486,6.084,1034.797,0,35.131
11,MAX_SURF4_DIV15_3_soma.tif:AIS background:1,8.012,4.839,1.997,4.030,4.000,19.214,0.000,0.000,38.764,4.172,749.970,0,35.131
