 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_SURF4_DIV15_7_soma.tif:cell body:1,138.366,15.160,4.045,16.000,5.000,30.000,2097.568,15.000,40582.000,0.000
2,MAX_SURF4_DIV15_7_soma.tif:nucleus:1,42.539,15.520,2.345,14.000,11.000,26.000,660.200,15.000,12773.000,0.000
3,MAX_SURF4_DIV15_7_soma.tif:cytoplasm:1,95.828,14.999,4.594,16.000,5.000,30.000,1437.368,16.000,27809.000,0.000
4,MAX_SURF4_DIV15_7_soma.tif:dendrite 1:1,8.839,7.449,1.278,7.002,5.006,12.254,65.838,7.216,1273.772,38.877
5,MAX_SURF4_DIV15_7_soma.tif:dendrite 1 background:1,8.839,4.875,1.820,4.006,3.000,16.926,43.086,4.179,833.591,38.877
6,MAX_SURF4_DIV15_7_soma.tif:dendrite 2:1,6.926,6.235,0.936,5.994,4.055,10.000,43.182,6.201,835.446,30.410
7,MAX_SURF4_DIV15_7_soma.tif:dendrite 2 background:1,6.926,5.204,1.304,3.997,3.000,9.147,36.044,4.996,697.358,30.410
8,MAX_SURF4_DIV15_7_soma.tif:dendrite 3:1,6.254,8.063,1.102,7.009,5.699,12.214,50.429,8.021,975.654,27.339
9,MAX_SURF4_DIV15_7_soma.tif:dendrite 3 background:1,6.254,4.245,1.490,3.020,3.000,13.073,26.548,4.000,513.631,27.339
10,MAX_SURF4_DIV15_7_soma.tif:AIS:1,6.099,5.926,0.826,5.003,4.125,8.250,36.146,5.864,699.326,26.791
11,MAX_SURF4_DIV15_7_soma.tif:AIS background:1,6.099,4.353,1.093,3.009,3.000,7.815,26.551,4.220,513.691,26.791
