 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,MAX_SURF4_DIV3_1_BOTH.tif:cell body:1,296.994,5.653,2.336,4.000,3,41.000,0.000,0.000,1678.953,5.000,32483.000,0,0.000
2,MAX_SURF4_DIV3_1_BOTH.tif:nucleus:1,89.522,5.181,2.081,4.000,3,41.000,0.000,0.000,463.789,5.000,8973.000,0,0.000
3,MAX_SURF4_DIV3_1_BOTH.tif:cytoplasm:1,207.472,5.857,2.409,4.000,3,38.000,0.000,0.000,1215.165,5.000,23510.000,0,0.000
4,MAX_SURF4_DIV3_1_BOTH.tif:dendrite 1:1,1.292,3.709,0.654,3.005,3,5.638,0.000,0.000,4.793,3.632,92.737,0,5.559
5,MAX_SURF4_DIV3_1_BOTH.tif:dendrite 1 background:1,1.292,3.006,0.031,3.000,3,3.154,0.000,0.000,3.885,3.000,75.161,0,5.559
6,MAX_SURF4_DIV3_1_BOTH.tif:dendrite 2:1,0.000,3.000,0.000,3.000,3,3.000,105.148,59.452,0.155,3.000,3.000,1,0.000
7,MAX_SURF4_DIV3_1_BOTH.tif:dendrite 2 background:1,0.000,3.000,0.000,3.000,3,3.000,107.422,61.725,0.155,3.000,3.000,1,0.000
8,MAX_SURF4_DIV3_1_BOTH.tif:dendrite 3:1,0.000,3.000,0.000,3.000,3,3.000,105.148,59.452,0.155,3.000,3.000,1,0.000
9,MAX_SURF4_DIV3_1_BOTH.tif:dendrite 3 background:1,0.000,3.000,0.000,3.000,3,3.000,107.422,61.725,0.155,3.000,3.000,1,0.000
10,MAX_SURF4_DIV3_1_BOTH.tif:AIS:1,4.807,5.016,0.782,4.007,4,7.566,0.000,0.000,24.112,4.984,466.504,0,20.942
11,MAX_SURF4_DIV3_1_BOTH.tif:AIS background:1,4.807,3.021,0.104,3.002,3,3.830,0.000,0.000,14.520,3.000,280.927,0,20.942
12,MAX_SURF4_DIV3_1_BOTH.tif:axon:1,18.090,4.366,0.706,3.998,3,6.787,0.000,0.000,78.976,4.204,1527.956,0,79.524
13,MAX_SURF4_DIV3_1_BOTH.tif:axon background:1,18.090,3.023,0.168,3.005,3,5.535,0.000,0.000,54.689,3.000,1058.078,0,79.524
14,MAX_SURF4_DIV3_1_BOTH.tif:growth cone:1,4.032,3.641,0.720,3.000,3,5.000,0.000,0.000,14.679,4.000,284.000,0,0.000
15,MAX_SURF4_DIV3_1_BOTH.tif:growth cone background:1,4.032,3.000,0.000,3.000,3,3.000,0.000,0.000,12.095,3.000,234.000,0,0.000
