 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_SURF4_DIV3_4_BOTH.tif:cell body:1,267.274,7.207,2.861,5.000,3.000,30.000,1926.121,7.000,37265.000,0.000
2,MAX_SURF4_DIV3_4_BOTH.tif:nucleus:1,89.832,6.900,2.667,5.000,4.000,21.000,619.832,6.000,11992.000,0.000
3,MAX_SURF4_DIV3_4_BOTH.tif:cytoplasm:1,177.442,7.362,2.943,5.000,3.000,30.000,1306.289,7.000,25273.000,0.000
4,MAX_SURF4_DIV3_4_BOTH.tif:dendrite 1:1,7.133,3.649,0.539,3.004,3.000,4.981,26.026,3.536,503.531,31.251
5,MAX_SURF4_DIV3_4_BOTH.tif:dendrite 1 background:1,7.133,3.007,0.056,3.001,3.000,3.553,21.446,3.000,414.918,31.251
6,MAX_SURF4_DIV3_4_BOTH.tif:dendrite 2:1,4.083,3.509,0.469,3.004,3.000,4.809,14.327,3.484,277.183,17.847
7,MAX_SURF4_DIV3_4_BOTH.tif:dendrite 2 background:1,4.083,3.000,0.000,3.000,3.000,3.000,12.250,3.000,237.000,17.847
8,MAX_SURF4_DIV3_4_BOTH.tif:dendrite 3:1,2.378,4.251,0.601,3.005,3.000,5.781,10.106,4.212,195.523,10.404
9,MAX_SURF4_DIV3_4_BOTH.tif:dendrite 3 background:1,2.378,3.082,0.232,3.002,3.000,4.000,7.328,3.000,141.772,10.404
10,MAX_SURF4_DIV3_4_BOTH.tif:AIS:1,7.753,5.279,0.938,4.992,3.629,8.878,40.929,5.087,791.853,33.956
11,MAX_SURF4_DIV3_4_BOTH.tif:AIS background:1,7.753,3.021,0.126,3.002,3.000,4.069,23.423,3.000,453.174,33.956
12,MAX_SURF4_DIV3_4_BOTH.tif:axon:1,23.724,5.129,1.041,4.011,3.099,9.678,121.678,4.964,2354.119,104.307
13,MAX_SURF4_DIV3_4_BOTH.tif:axon background:1,23.724,3.045,0.202,3.003,3.000,4.700,72.249,3.000,1397.812,104.307
14,MAX_SURF4_DIV3_4_BOTH.tif:growth cone:1,9.821,4.737,1.197,4.000,3.000,10.000,46.518,4.000,900.000,0.000
15,MAX_SURF4_DIV3_4_BOTH.tif:growth cone background:1,9.821,3.005,0.073,3.000,3.000,4.000,29.513,3.000,571.000,0.000
