 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_c08a98b4-1366-4194-b15e-05f6f978c8bb.tif:cell body:1,237.864,473.048,174.402,394.145,167.000,1161.000,112521.201,449.000,2176967.000,0.000
2,SUM_c08a98b4-1366-4194-b15e-05f6f978c8bb.tif:nucleus:1,81.149,576.718,155.978,462.988,271.000,1033.000,46800.019,569.000,905448.000,0.000
3,SUM_c08a98b4-1366-4194-b15e-05f6f978c8bb.tif:cytoplasm:1,156.715,419.366,158.517,343.668,167.000,1161.000,65721.182,393.500,1271519.000,0.000
4,SUM_c08a98b4-1366-4194-b15e-05f6f978c8bb.tif:dendrite 1:1,5.014,344.024,114.478,300.987,240.805,992.356,1724.817,315.977,33370.334,21.942
5,SUM_c08a98b4-1366-4194-b15e-05f6f978c8bb.tif:dendrite 1 background:1,5.014,178.272,45.892,142.916,138.722,333.960,893.794,149.020,17292.378,21.942
6,SUM_c08a98b4-1366-4194-b15e-05f6f978c8bb.tif:dendrite 2:1,7.185,302.439,61.536,219.824,190.717,521.893,2172.875,293.144,42038.995,31.514
7,SUM_c08a98b4-1366-4194-b15e-05f6f978c8bb.tif:dendrite 2 background:1,7.185,142.158,5.974,140.060,138.283,177.854,1021.336,140.987,19759.959,31.514
8,SUM_c08a98b4-1366-4194-b15e-05f6f978c8bb.tif:dendrite 3:1,6.719,351.671,74.382,274.818,274.106,638.627,2362.996,327.309,45717.287,29.463
9,SUM_c08a98b4-1366-4194-b15e-05f6f978c8bb.tif:dendrite 3 background:1,6.719,194.539,66.126,141.116,139.154,474.036,1307.175,169.555,25290.135,29.463
10,SUM_c08a98b4-1366-4194-b15e-05f6f978c8bb.tif:AIS:1,8.683,182.147,46.362,148.672,140.887,375.351,1581.661,156.835,30600.674,37.999
11,SUM_c08a98b4-1366-4194-b15e-05f6f978c8bb.tif:AIS background:1,8.683,191.393,76.252,141.839,138.143,516.640,1661.951,156.784,32154.058,37.999
