 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,SUM_9f21cecb-413a-4464-b1de-61a0efde5870.tif:cell body:1,144.724,184.019,69.931,151.236,106.000,543.000,0.000,0.000,26631.903,162.000,515252.000,0,0.000
2,SUM_9f21cecb-413a-4464-b1de-61a0efde5870.tif:nucleus:1,68.279,177.912,50.528,168.520,112.000,430.000,0.000,0.000,12147.615,165.000,235022.000,0,0.000
3,SUM_9f21cecb-413a-4464-b1de-61a0efde5870.tif:cytoplasm:1,76.445,189.473,83.175,118.803,106.000,543.000,0.000,0.000,14484.288,158.000,280230.000,0,0.000
4,SUM_9f21cecb-413a-4464-b1de-61a0efde5870.tif:dendrite 1:1,2.533,122.767,8.887,113.185,107.189,145.093,0.000,0.000,310.929,121.335,6015.602,0,11.186
5,SUM_9f21cecb-413a-4464-b1de-61a0efde5870.tif:dendrite 1 background:1,2.533,107.019,1.704,106.028,105.042,112.358,0.000,0.000,271.044,106.351,5243.943,0,11.186
6,SUM_9f21cecb-413a-4464-b1de-61a0efde5870.tif:dendrite 2:1,2.688,120.126,8.511,116.249,108.265,155.250,0.000,0.000,322.868,118.273,6246.577,0,11.766
7,SUM_9f21cecb-413a-4464-b1de-61a0efde5870.tif:dendrite 2 background:1,2.688,107.666,2.199,105.079,105.060,115.110,0.000,0.000,289.378,106.837,5598.653,0,11.766
8,SUM_9f21cecb-413a-4464-b1de-61a0efde5870.tif:dendrite 3:1,0.000,105.000,0.000,105.000,105.000,105.000,98.328,56.041,5.427,105.000,105.000,1,0.000
9,SUM_9f21cecb-413a-4464-b1de-61a0efde5870.tif:dendrite 3 background:1,0.000,105.000,0.000,105.000,105.000,105.000,100.602,58.315,5.427,105.000,105.000,1,0.000
10,SUM_9f21cecb-413a-4464-b1de-61a0efde5870.tif:AIS:1,5.582,217.149,33.591,175.659,162.132,331.055,0.000,0.000,1212.170,212.512,23452.060,0,24.417
11,SUM_9f21cecb-413a-4464-b1de-61a0efde5870.tif:AIS background:1,5.582,106.629,1.691,105.172,105.013,116.642,0.000,0.000,595.225,106.219,11515.918,0,24.417
12,SUM_9f21cecb-413a-4464-b1de-61a0efde5870.tif:axon:1,19.538,173.570,36.778,145.399,118.823,305.218,0.000,0.000,3391.163,164.176,65609.413,0,85.768
13,SUM_9f21cecb-413a-4464-b1de-61a0efde5870.tif:axon background:1,19.538,107.039,5.715,105.124,105.000,168.492,0.000,0.000,2091.303,106.117,40460.798,0,85.768
14,SUM_9f21cecb-413a-4464-b1de-61a0efde5870.tif:growth cone:1,30.444,119.199,12.796,110.854,105.000,186.000,0.000,0.000,3628.851,115.000,70208.000,0,0.000
15,SUM_9f21cecb-413a-4464-b1de-61a0efde5870.tif:growth cone background:1,30.444,106.243,1.506,105.016,105.000,113.000,0.000,0.000,3234.426,106.000,62577.000,0,0.000
