 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_9bcf0427-0e01-4f92-b41f-ec4631dd1f57.tif:cell body:1,392.822,174.571,70.633,119.941,105.000,1635.000,68575.553,156.000,1326743.000,0.000
2,SUM_9bcf0427-0e01-4f92-b41f-ec4631dd1f57.tif:nucleus:1,87.610,230.555,58.695,198.049,116.000,743.000,20198.870,222.000,390791.000,0.000
3,SUM_9bcf0427-0e01-4f92-b41f-ec4631dd1f57.tif:cytoplasm:1,305.213,158.502,65.382,119.941,105.000,1635.000,48376.683,141.000,935952.000,0.000
4,SUM_9bcf0427-0e01-4f92-b41f-ec4631dd1f57.tif:dendrite 1:1,4.445,117.348,7.546,111.778,105.706,136.488,521.624,116.133,10091.949,19.409
5,SUM_9bcf0427-0e01-4f92-b41f-ec4631dd1f57.tif:dendrite 1 background:1,4.445,106.322,0.988,105.999,105.001,109.961,472.609,106.222,9143.654,19.409
6,SUM_9bcf0427-0e01-4f92-b41f-ec4631dd1f57.tif:dendrite 2:1,2.791,112.914,5.941,106.311,106.151,133.497,315.156,111.384,6097.376,12.260
7,SUM_9bcf0427-0e01-4f92-b41f-ec4631dd1f57.tif:dendrite 2 background:1,2.791,106.794,1.955,105.262,105.067,116.175,298.072,106.259,5766.852,12.260
8,SUM_9bcf0427-0e01-4f92-b41f-ec4631dd1f57.tif:dendrite 3:1,2.998,112.750,4.458,107.285,106.063,122.970,338.009,111.835,6539.516,13.092
9,SUM_9bcf0427-0e01-4f92-b41f-ec4631dd1f57.tif:dendrite 3 background:1,2.998,106.024,0.851,105.845,105.000,109.041,317.844,105.781,6149.387,13.092
10,SUM_9bcf0427-0e01-4f92-b41f-ec4631dd1f57.tif:AIS:1,5.737,143.086,17.356,142.669,114.269,210.566,820.925,141.315,15882.572,25.094
11,SUM_9bcf0427-0e01-4f92-b41f-ec4631dd1f57.tif:AIS background:1,5.737,106.298,1.083,105.012,105.000,110.924,609.859,106.064,11799.044,25.094
12,SUM_9bcf0427-0e01-4f92-b41f-ec4631dd1f57.tif:axon:1,16.902,136.594,14.294,127.949,110.368,196.097,2308.675,133.894,44666.323,74.193
13,SUM_9bcf0427-0e01-4f92-b41f-ec4631dd1f57.tif:axon background:1,16.902,106.917,1.865,105.025,105.000,117.686,1807.071,106.499,34961.721,74.193
14,SUM_9bcf0427-0e01-4f92-b41f-ec4631dd1f57.tif:growth cone:1,48.896,119.513,12.355,110.059,105.000,179.000,5843.697,116.000,113059.000,0.000
15,SUM_9bcf0427-0e01-4f92-b41f-ec4631dd1f57.tif:growth cone background:1,48.896,106.402,1.909,105.033,105.000,122.000,5202.621,106.000,100656.000,0.000
