 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_79368a17-9837-4c4d-b8ad-73a69965d23b.tif:cell body:1,169.482,426.631,123.278,401.184,153.000,1123.000,72306.383,420.000,1398924.000,0.000
2,SUM_79368a17-9837-4c4d-b8ad-73a69965d23b.tif:nucleus:1,76.755,473.997,95.268,484.168,269.000,1123.000,36381.855,471.000,703886.000,0.000
3,SUM_79368a17-9837-4c4d-b8ad-73a69965d23b.tif:cytoplasm:1,92.727,387.424,129.908,344.592,153.000,1006.000,35924.527,374.000,695038.000,0.000
4,SUM_79368a17-9837-4c4d-b8ad-73a69965d23b.tif:dendrite 1:1,6.926,186.549,33.905,159.344,144.429,322.026,1292.055,177.707,24997.608,30.329
5,SUM_79368a17-9837-4c4d-b8ad-73a69965d23b.tif:dendrite 1 background:1,6.926,157.412,50.550,132.191,128.317,411.703,1090.246,140.640,21093.183,30.329
6,SUM_79368a17-9837-4c4d-b8ad-73a69965d23b.tif:dendrite 2:1,7.133,265.723,83.875,210.300,179.203,587.452,1895.355,237.174,36669.760,31.288
7,SUM_79368a17-9837-4c4d-b8ad-73a69965d23b.tif:dendrite 2 background:1,7.133,178.123,47.408,138.123,130.307,340.945,1270.520,157.524,24580.966,31.288
8,SUM_79368a17-9837-4c4d-b8ad-73a69965d23b.tif:dendrite 3:1,6.978,330.540,75.578,264.346,215.212,590.685,2306.428,317.710,44622.861,30.593
9,SUM_79368a17-9837-4c4d-b8ad-73a69965d23b.tif:dendrite 3 background:1,6.978,233.114,73.732,139.184,138.507,485.581,1626.615,216.916,31470.406,30.593
10,SUM_79368a17-9837-4c4d-b8ad-73a69965d23b.tif:AIS:1,9.924,245.572,74.557,190.092,153.645,449.845,2437.040,216.599,47149.839,43.496
11,SUM_79368a17-9837-4c4d-b8ad-73a69965d23b.tif:AIS background:1,9.924,306.865,104.628,192.198,133.012,599.214,3045.305,276.986,58918.031,43.496
