 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,SUM_44c59463-2bf8-4a9e-b1ba-b16da8a4bf2c.tif:cell body:1,357.727,229.774,108.864,109.174,93.000,730.000,0.000,0.000,82196.148,210.000,1590263.000,0,0.000
2,SUM_44c59463-2bf8-4a9e-b1ba-b16da8a4bf2c.tif:nucleus:1,119.035,352.100,67.092,313.035,184.000,730.000,0.000,0.000,41912.431,346.000,810887.000,0,0.000
3,SUM_44c59463-2bf8-4a9e-b1ba-b16da8a4bf2c.tif:cytoplasm:1,238.691,168.769,65.819,110.730,93.000,627.000,0.000,0.000,40283.717,146.000,779376.000,0,0.000
4,SUM_44c59463-2bf8-4a9e-b1ba-b16da8a4bf2c.tif:dendrite 1:1,1.912,108.033,8.551,105.555,95.803,135.747,0.000,0.000,206.605,106.352,3997.220,0,8.309
5,SUM_44c59463-2bf8-4a9e-b1ba-b16da8a4bf2c.tif:dendrite 1 background:1,1.912,96.157,3.065,98.413,93.000,106.259,0.000,0.000,183.893,95.246,3557.807,0,8.309
6,SUM_44c59463-2bf8-4a9e-b1ba-b16da8a4bf2c.tif:dendrite 2:1,0.000,95.000,0.000,95.000,95.000,95.000,69.910,73.471,4.910,95.000,95.000,1,0.000
7,SUM_44c59463-2bf8-4a9e-b1ba-b16da8a4bf2c.tif:dendrite 2 background:1,0.000,93.000,0.000,93.000,93.000,93.000,72.183,75.745,4.807,93.000,93.000,1,0.000
8,SUM_44c59463-2bf8-4a9e-b1ba-b16da8a4bf2c.tif:dendrite 3:1,0.000,95.000,0.000,95.000,95.000,95.000,69.910,73.471,4.910,95.000,95.000,1,0.000
9,SUM_44c59463-2bf8-4a9e-b1ba-b16da8a4bf2c.tif:dendrite 3 background:1,0.000,93.000,0.000,93.000,93.000,93.000,72.183,75.745,4.807,93.000,93.000,1,0.000
10,SUM_44c59463-2bf8-4a9e-b1ba-b16da8a4bf2c.tif:AIS:1,9.355,123.176,30.346,106.566,98.551,276.977,0.000,0.000,1152.358,113.789,22294.863,0,41.131
11,SUM_44c59463-2bf8-4a9e-b1ba-b16da8a4bf2c.tif:AIS background:1,9.355,94.964,1.587,94.643,93.000,105.938,0.000,0.000,888.420,94.663,17188.410,0,41.131
