 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_ded32010-2177-4744-ba4f-19de2b369dee.tif:cell body:1,385.069,247.651,109.873,125.566,105.000,915.000,95362.621,233.000,1844997.000,0.000
2,SUM_ded32010-2177-4744-ba4f-19de2b369dee.tif:nucleus:1,110.714,349.606,94.085,276.102,173.000,809.000,38706.174,326.500,748855.000,0.000
3,SUM_ded32010-2177-4744-ba4f-19de2b369dee.tif:cytoplasm:1,274.355,206.508,86.516,125.566,105.000,915.000,56656.447,180.000,1096142.000,0.000
4,SUM_ded32010-2177-4744-ba4f-19de2b369dee.tif:dendrite 1:1,1.137,111.406,5.695,104.718,104.680,124.141,126.682,110.413,2450.930,4.971
5,SUM_ded32010-2177-4744-ba4f-19de2b369dee.tif:dendrite 1 background:1,1.137,103.486,1.113,102.006,102.000,105.226,117.676,103.000,2276.689,4.971
6,SUM_ded32010-2177-4744-ba4f-19de2b369dee.tif:dendrite 2:1,2.016,111.985,3.862,110.497,104.748,119.844,225.738,111.500,4367.397,8.757
7,SUM_ded32010-2177-4744-ba4f-19de2b369dee.tif:dendrite 2 background:1,2.016,104.567,2.157,102.759,102.000,112.500,210.787,104.000,4078.124,8.757
8,SUM_ded32010-2177-4744-ba4f-19de2b369dee.tif:dendrite 3:1,1.240,110.256,5.780,105.016,102.749,126.436,136.772,109.512,2646.152,5.375
9,SUM_ded32010-2177-4744-ba4f-19de2b369dee.tif:dendrite 3 background:1,1.240,105.645,4.221,103.158,102.293,123.388,131.052,104.770,2535.488,5.375
10,SUM_ded32010-2177-4744-ba4f-19de2b369dee.tif:AIS:1,4.083,140.136,15.217,137.528,116.454,188.870,572.213,137.659,11070.710,17.902
11,SUM_ded32010-2177-4744-ba4f-19de2b369dee.tif:AIS background:1,4.083,104.139,2.229,102.029,102.000,116.823,425.228,103.753,8226.953,17.902
12,SUM_ded32010-2177-4744-ba4f-19de2b369dee.tif:axon:1,17.108,126.243,13.088,115.568,107.646,197.779,2159.822,122.874,41786.442,75.214
13,SUM_ded32010-2177-4744-ba4f-19de2b369dee.tif:axon background:1,17.108,103.365,3.295,102.094,102.000,150.268,1768.420,102.782,34213.931,75.214
14,SUM_ded32010-2177-4744-ba4f-19de2b369dee.tif:growth cone:1,19.073,113.753,7.526,111.039,102.000,154.000,2169.568,113.000,41975.000,0.000
15,SUM_ded32010-2177-4744-ba4f-19de2b369dee.tif:growth cone background:1,19.073,105.699,5.085,102.068,102.000,137.000,2015.954,104.000,39003.000,0.000
