 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,SUM_7dec4067-5721-4b21-8f92-915af4b4e11b.tif:cell body:1,339.481,227.594,120.025,111.467,97.000,920.000,0.000,0.000,77263.800,187.000,1494836.000,0,0.000
2,SUM_7dec4067-5721-4b21-8f92-915af4b4e11b.tif:nucleus:1,74.585,395.316,99.487,409.268,175.000,920.000,0.000,0.000,29484.465,389.000,570441.000,0,0.000
3,SUM_7dec4067-5721-4b21-8f92-915af4b4e11b.tif:cytoplasm:1,264.897,180.370,74.329,109.850,97.000,828.000,0.000,0.000,47779.335,156.000,924395.000,0,0.000
4,SUM_7dec4067-5721-4b21-8f92-915af4b4e11b.tif:dendrite 1:1,3.411,108.910,10.692,104.202,98.282,168.770,0.000,0.000,371.531,106.565,7188.083,0,14.978
5,SUM_7dec4067-5721-4b21-8f92-915af4b4e11b.tif:dendrite 1 background:1,3.411,97.707,1.673,97.510,96.000,107.895,0.000,0.000,333.313,97.427,6448.673,0,14.978
6,SUM_7dec4067-5721-4b21-8f92-915af4b4e11b.tif:dendrite 2:1,4.135,117.346,19.817,101.665,98.315,172.880,0.000,0.000,485.223,110.198,9387.690,0,18.136
7,SUM_7dec4067-5721-4b21-8f92-915af4b4e11b.tif:dendrite 2 background:1,4.135,97.716,1.320,97.024,96.000,102.812,0.000,0.000,404.051,97.550,7817.241,0,18.136
8,SUM_7dec4067-5721-4b21-8f92-915af4b4e11b.tif:dendrite 3:1,0.000,96.000,0.000,96.000,96.000,96.000,36.376,89.348,4.962,96.000,96.000,1,0.000
9,SUM_7dec4067-5721-4b21-8f92-915af4b4e11b.tif:dendrite 3 background:1,0.000,96.000,0.000,96.000,96.000,96.000,38.649,91.621,4.962,96.000,96.000,1,0.000
10,SUM_7dec4067-5721-4b21-8f92-915af4b4e11b.tif:AIS:1,5.324,119.368,10.520,114.119,99.800,160.392,0.000,0.000,635.488,117.020,12294.897,0,23.330
11,SUM_7dec4067-5721-4b21-8f92-915af4b4e11b.tif:AIS background:1,5.324,97.864,1.621,96.779,96.000,109.757,0.000,0.000,521.005,97.662,10079.973,0,23.330
12,SUM_7dec4067-5721-4b21-8f92-915af4b4e11b.tif:axon:1,11.164,117.393,10.552,109.615,100.795,174.820,0.000,0.000,1310.622,115.491,25356.823,0,48.984
13,SUM_7dec4067-5721-4b21-8f92-915af4b4e11b.tif:axon background:1,11.164,98.126,3.250,96.961,96.000,133.848,0.000,0.000,1095.516,97.587,21195.137,0,48.984
14,SUM_7dec4067-5721-4b21-8f92-915af4b4e11b.tif:growth cone:1,45.640,121.284,23.534,106.195,96.000,276.000,0.000,0.000,5535.383,114.000,107094.000,0,0.000
15,SUM_7dec4067-5721-4b21-8f92-915af4b4e11b.tif:growth cone background:1,45.640,98.039,4.674,96.145,96.000,170.000,0.000,0.000,4474.452,97.000,86568.000,0,0.000
