 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_dc9e26a4-7596-46d7-853f-4aa4730e5705.tif:cell body:3,200.288,4576.982,1845.942,2745.533,790.000,8433.000,916713.164,4547.000,17735807.000,0.000
2,SUM_dc9e26a4-7596-46d7-853f-4aa4730e5705.tif:nucleus:3,77.634,6365.445,1107.981,6155.578,3513.000,8433.000,494175.487,6329.500,9560898.000,0.000
3,SUM_dc9e26a4-7596-46d7-853f-4aa4730e5705.tif:cytoplasm:3,122.654,3444.968,1216.944,2715.879,790.000,6120.000,422537.677,3387.000,8174909.000,0.000
4,SUM_dc9e26a4-7596-46d7-853f-4aa4730e5705.tif:dendrite 1:3,7.133,2216.935,169.410,2145.374,1776.231,2523.272,15813.011,2223.605,305937.046,31.348
5,SUM_dc9e26a4-7596-46d7-853f-4aa4730e5705.tif:dendrite 1 background:3,7.133,177.245,11.142,172.054,171.032,229.165,1264.257,172.852,24459.796,31.348
6,SUM_dc9e26a4-7596-46d7-853f-4aa4730e5705.tif:dendrite 2:3,7.960,1529.100,173.770,1584.820,1188.135,2067.367,12171.362,1545.468,235481.429,34.855
7,SUM_dc9e26a4-7596-46d7-853f-4aa4730e5705.tif:dendrite 2 background:3,7.960,176.579,11.934,171.125,171.000,234.869,1405.536,171.736,27193.151,34.855
8,SUM_dc9e26a4-7596-46d7-853f-4aa4730e5705.tif:dendrite 3:3,4.962,1238.730,117.736,1208.418,950.946,1613.387,6146.536,1221.576,118918.096,21.610
9,SUM_dc9e26a4-7596-46d7-853f-4aa4730e5705.tif:dendrite 3 background:3,4.962,232.386,56.143,178.249,172.638,393.610,1153.090,213.323,22309.037,21.610
10,SUM_dc9e26a4-7596-46d7-853f-4aa4730e5705.tif:AIS:3,6.099,773.338,301.123,1184.093,253.876,1453.551,4716.650,798.669,91253.846,26.659
11,SUM_dc9e26a4-7596-46d7-853f-4aa4730e5705.tif:AIS background:3,6.099,176.105,13.071,171.176,171.000,260.966,1074.079,171.480,20780.387,26.659
