 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,SUM_031a88cb-cb6e-4653-963b-ddd10921d620.tif:cell body:1,234.505,302.120,65.659,257.496,205.000,507.000,0.000,0.000,70848.598,287.000,1370720.000,0,0.000
2,SUM_031a88cb-cb6e-4653-963b-ddd10921d620.tif:nucleus:1,81.252,372.489,45.548,336.402,269.000,507.000,0.000,0.000,30265.561,370.000,585553.000,0,0.000
3,SUM_031a88cb-cb6e-4653-963b-ddd10921d620.tif:cytoplasm:1,153.252,264.812,38.461,259.688,205.000,429.000,0.000,0.000,40583.038,257.000,785167.000,0,0.000
4,SUM_031a88cb-cb6e-4653-963b-ddd10921d620.tif:dendrite 1:1,7.598,233.793,7.570,220.068,218.629,253.731,0.000,0.000,1776.359,233.458,34367.522,0,33.256
5,SUM_031a88cb-cb6e-4653-963b-ddd10921d620.tif:dendrite 1 background:1,7.598,209.195,6.916,202.695,200.452,233.266,0.000,0.000,1589.465,206.649,30751.648,0,33.256
6,SUM_031a88cb-cb6e-4653-963b-ddd10921d620.tif:dendrite 2:1,7.753,250.507,22.077,222.844,218.565,294.102,0.000,0.000,1942.196,242.918,37575.996,0,33.896
7,SUM_031a88cb-cb6e-4653-963b-ddd10921d620.tif:dendrite 2 background:1,7.753,205.306,5.874,201.363,198.515,232.428,0.000,0.000,1591.755,203.077,30795.964,0,33.896
8,SUM_031a88cb-cb6e-4653-963b-ddd10921d620.tif:dendrite 3:1,0.000,199.000,0.000,199.000,199.000,199.000,41.150,16.824,10.286,199.000,199.000,3,0.000
9,SUM_031a88cb-cb6e-4653-963b-ddd10921d620.tif:dendrite 3 background:1,0.000,199.000,0.000,199.000,199.000,199.000,43.423,19.097,10.286,199.000,199.000,3,0.000
10,SUM_031a88cb-cb6e-4653-963b-ddd10921d620.tif:AIS:1,8.012,217.480,12.284,210.404,202.538,281.501,0.000,0.000,1742.342,213.115,33709.383,0,35.131
11,SUM_031a88cb-cb6e-4653-963b-ddd10921d620.tif:AIS background:1,8.012,207.325,8.286,205.152,198.000,258.026,0.000,0.000,1660.986,205.573,32135.374,0,35.131
