 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,SUM_bab2dca4-8989-4419-a4d9-fd5ed30dd2e3.tif:cell body:1,296.994,94.250,10.188,84.773,84.000,216.000,0.000,0.000,27991.740,91.000,541561.000,0,0.000
2,SUM_bab2dca4-8989-4419-a4d9-fd5ed30dd2e3.tif:nucleus:1,89.522,92.938,9.289,89.930,84.000,216.000,0.000,0.000,8319.976,90.000,160968.000,0,0.000
3,SUM_bab2dca4-8989-4419-a4d9-fd5ed30dd2e3.tif:cytoplasm:1,207.472,94.816,10.503,85.055,84.000,192.000,0.000,0.000,19671.764,91.000,380593.000,0,0.000
4,SUM_bab2dca4-8989-4419-a4d9-fd5ed30dd2e3.tif:dendrite 1:1,1.292,85.266,1.340,84.010,84.000,89.356,0.000,0.000,110.179,84.989,2131.652,0,5.559
5,SUM_bab2dca4-8989-4419-a4d9-fd5ed30dd2e3.tif:dendrite 1 background:1,1.292,84.013,0.061,84.001,84.000,84.308,0.000,0.000,108.560,84.000,2100.323,0,5.559
6,SUM_bab2dca4-8989-4419-a4d9-fd5ed30dd2e3.tif:dendrite 2:1,0.000,84.000,0.000,84.000,84.000,84.000,105.148,59.452,4.342,84.000,84.000,1,0.000
7,SUM_bab2dca4-8989-4419-a4d9-fd5ed30dd2e3.tif:dendrite 2 background:1,0.000,84.000,0.000,84.000,84.000,84.000,107.422,61.725,4.342,84.000,84.000,1,0.000
8,SUM_bab2dca4-8989-4419-a4d9-fd5ed30dd2e3.tif:dendrite 3:1,0.000,84.000,0.000,84.000,84.000,84.000,105.148,59.452,4.342,84.000,84.000,1,0.000
9,SUM_bab2dca4-8989-4419-a4d9-fd5ed30dd2e3.tif:dendrite 3 background:1,0.000,84.000,0.000,84.000,84.000,84.000,107.422,61.725,4.342,84.000,84.000,1,0.000
10,SUM_bab2dca4-8989-4419-a4d9-fd5ed30dd2e3.tif:AIS:1,4.807,89.589,2.437,87.497,85.340,96.061,0.000,0.000,430.643,89.073,8331.732,0,20.942
11,SUM_bab2dca4-8989-4419-a4d9-fd5ed30dd2e3.tif:AIS background:1,4.807,84.021,0.104,84.002,84.000,84.830,0.000,0.000,403.880,84.000,7813.927,0,20.942
12,SUM_bab2dca4-8989-4419-a4d9-fd5ed30dd2e3.tif:axon:1,18.090,87.320,2.254,84.024,84.000,96.175,0.000,0.000,1579.664,86.984,30562.024,0,79.524
13,SUM_bab2dca4-8989-4419-a4d9-fd5ed30dd2e3.tif:axon background:1,18.090,84.032,0.281,84.009,84.000,88.710,0.000,0.000,1520.180,84.000,29411.189,0,79.524
14,SUM_bab2dca4-8989-4419-a4d9-fd5ed30dd2e3.tif:growth cone:1,4.032,85.167,1.607,84.012,84.000,90.000,0.000,0.000,343.358,84.500,6643.000,0,0.000
15,SUM_bab2dca4-8989-4419-a4d9-fd5ed30dd2e3.tif:growth cone background:1,4.032,84.000,0.000,84.000,84.000,84.000,0.000,0.000,338.654,84.000,6552.000,0,0.000
