 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_a6414fd3-0009-4508-81a9-dd3a17cab152.tif:cell body:1,225.563,89.868,10.871,79.965,75.000,157.000,20270.818,87.000,392183.000,0.000
2,SUM_a6414fd3-0009-4508-81a9-dd3a17cab152.tif:nucleus:1,89.677,86.916,8.869,79.990,75.000,148.000,7794.369,84.000,150799.000,0.000
3,SUM_a6414fd3-0009-4508-81a9-dd3a17cab152.tif:cytoplasm:1,135.885,91.816,11.609,81.887,75.000,157.000,12476.449,90.000,241384.000,0.000
4,SUM_a6414fd3-0009-4508-81a9-dd3a17cab152.tif:dendrite 1:1,1.861,77.612,2.866,75.023,75.000,86.940,144.416,76.950,2794.036,8.139
5,SUM_a6414fd3-0009-4508-81a9-dd3a17cab152.tif:dendrite 1 background:1,1.861,75.002,0.013,75.000,75.000,75.076,139.559,75.000,2700.077,8.139
6,SUM_a6414fd3-0009-4508-81a9-dd3a17cab152.tif:dendrite 2:1,1.757,76.791,2.231,75.021,75.000,85.811,134.949,76.251,2610.878,7.729
7,SUM_a6414fd3-0009-4508-81a9-dd3a17cab152.tif:dendrite 2 background:1,1.757,75.000,0.000,75.000,75.000,75.000,131.802,75.000,2550.000,7.729
8,SUM_a6414fd3-0009-4508-81a9-dd3a17cab152.tif:dendrite 3:1,1.034,76.179,2.313,75.018,75.000,84.419,78.749,75.041,1523.577,4.554
9,SUM_a6414fd3-0009-4508-81a9-dd3a17cab152.tif:dendrite 3 background:1,1.034,75.000,0.000,75.000,75.000,75.000,77.531,75.000,1500.000,4.554
10,SUM_a6414fd3-0009-4508-81a9-dd3a17cab152.tif:AIS:1,3.980,79.508,3.917,76.669,75.089,101.184,316.434,78.593,6122.098,17.437
11,SUM_a6414fd3-0009-4508-81a9-dd3a17cab152.tif:AIS background:1,3.980,75.011,0.077,75.001,75.000,75.665,298.535,75.000,5775.817,17.437
12,SUM_a6414fd3-0009-4508-81a9-dd3a17cab152.tif:axon:1,15.299,77.223,3.386,75.060,75.000,105.950,1181.461,76.041,22857.929,67.293
13,SUM_a6414fd3-0009-4508-81a9-dd3a17cab152.tif:axon background:1,15.299,75.006,0.059,75.002,75.000,75.858,1147.550,75.000,22201.846,67.293
14,SUM_a6414fd3-0009-4508-81a9-dd3a17cab152.tif:growth cone:1,34.992,75.827,1.257,75.016,75.000,83.000,2653.359,75.000,51335.000,0.000
15,SUM_a6414fd3-0009-4508-81a9-dd3a17cab152.tif:growth cone background:1,34.992,75.003,0.054,75.002,75.000,76.000,2624.518,75.000,50777.000,0.000
