 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_CNC112_SLC38A1_GFP_1_soma.tif:cell body:1,337.414,129.055,36.803,150.000,21.000,209.000,43545.073,137.000,842474.000,0.000
2,MAX_CNC112_SLC38A1_GFP_1_soma.tif:nucleus:1,107.561,146.637,20.605,150.000,89.000,208.000,15772.383,149.000,305151.000,0.000
3,MAX_CNC112_SLC38A1_GFP_1_soma.tif:cytoplasm:1,229.853,120.828,39.716,150.000,21.000,209.000,27772.690,126.000,537323.000,0.000
4,MAX_CNC112_SLC38A1_GFP_1_soma.tif:dendrite 1:1,7.960,51.847,13.084,45.623,22.780,96.337,412.689,48.467,7984.372,34.971
5,MAX_CNC112_SLC38A1_GFP_1_soma.tif:dendrite 1 background:1,7.960,31.071,10.300,25.093,14.571,66.876,247.323,28.534,4784.998,34.971
6,MAX_CNC112_SLC38A1_GFP_1_soma.tif:dendrite 2:1,7.701,72.692,14.508,55.564,47.010,107.000,559.827,69.946,10831.077,33.717
7,MAX_CNC112_SLC38A1_GFP_1_soma.tif:dendrite 2 background:1,7.701,37.165,17.638,22.502,11.131,79.622,286.222,33.405,5537.585,33.717
8,MAX_CNC112_SLC38A1_GFP_1_soma.tif:dendrite 3:1,6.978,51.809,14.971,34.207,16.039,96.926,361.510,49.423,6994.200,30.642
9,MAX_CNC112_SLC38A1_GFP_1_soma.tif:dendrite 3 background:1,6.978,32.194,15.579,52.096,9.798,72.208,224.640,30.372,4346.153,30.642
10,MAX_CNC112_SLC38A1_GFP_1_soma.tif:AIS:1,6.771,46.078,11.810,53.326,21.350,79.200,311.998,45.808,6036.283,29.774
11,MAX_CNC112_SLC38A1_GFP_1_soma.tif:AIS background:1,6.771,22.488,12.219,12.060,8.980,72.066,152.264,19.671,2945.870,29.774
