 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,MAX_CNC112_SLC38A1_Mut2_1_soma.tif:cell body:1,134.490,139.276,26.076,143.000,34.000,214.000,0.000,0.000,18731.213,141.000,362396.000,0,0.000
2,MAX_CNC112_SLC38A1_Mut2_1_soma.tif:nucleus:1,56.391,141.921,17.600,133.000,76.000,211.000,0.000,0.000,8003.030,141.000,154836.000,0,0.000
3,MAX_CNC112_SLC38A1_Mut2_1_soma.tif:cytoplasm:1,78.099,137.366,30.642,148.000,34.000,214.000,0.000,0.000,10728.183,142.000,207560.000,0,0.000
4,MAX_CNC112_SLC38A1_Mut2_1_soma.tif:dendrite 1:1,2.067,100.942,16.386,117.624,61.641,130.050,0.000,0.000,208.697,103.270,4037.698,0,9.084
5,MAX_CNC112_SLC38A1_Mut2_1_soma.tif:dendrite 1 background:1,2.067,80.030,15.222,58.302,58.200,110.379,0.000,0.000,165.460,76.027,3201.186,0,9.084
6,MAX_CNC112_SLC38A1_Mut2_1_soma.tif:dendrite 2:1,9.769,133.194,18.884,132.991,85.575,174.501,0.000,0.000,1301.151,134.910,25173.591,0,42.771
7,MAX_CNC112_SLC38A1_Mut2_1_soma.tif:dendrite 2 background:1,9.769,48.984,27.225,25.612,12.156,128.923,0.000,0.000,478.518,42.503,9257.970,0,42.771
8,MAX_CNC112_SLC38A1_Mut2_1_soma.tif:dendrite 3:1,0.000,6.000,0.000,6.000,6.000,6.000,19.097,68.659,0.310,6.000,6.000,3,0.000
9,MAX_CNC112_SLC38A1_Mut2_1_soma.tif:dendrite 3 background:1,0.000,5.000,0.000,5.000,5.000,5.000,21.371,70.933,0.258,5.000,5.000,3,0.000
10,MAX_CNC112_SLC38A1_Mut2_1_soma.tif:AIS:1,2.894,77.877,31.283,47.111,21.653,137.000,0.000,0.000,225.415,88.257,4361.134,0,12.648
11,MAX_CNC112_SLC38A1_Mut2_1_soma.tif:AIS background:1,2.894,73.585,26.868,51.986,24.838,126.295,0.000,0.000,212.990,67.309,4120.756,0,12.648
