 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_CNC112_SLC38A1_Mut2_5_soma.tif:cell body:1,177.184,121.152,32.376,139.000,14.000,217.000,21466.135,125.000,415309.000,0.000
2,MAX_CNC112_SLC38A1_Mut2_5_soma.tif:nucleus:1,54.323,132.205,22.178,140.000,47.000,188.000,7181.773,135.000,138947.000,0.000
3,MAX_CNC112_SLC38A1_Mut2_5_soma.tif:cytoplasm:1,124.566,115.604,35.114,139.000,14.000,217.000,14400.348,118.000,278606.000,0.000
4,MAX_CNC112_SLC38A1_Mut2_5_soma.tif:dendrite 1:1,7.805,80.674,16.370,74.854,45.488,125.039,629.641,78.155,12181.780,34.152
5,MAX_CNC112_SLC38A1_Mut2_5_soma.tif:dendrite 1 background:1,7.805,26.323,18.350,11.239,8.560,73.886,205.448,14.367,3974.830,34.152
6,MAX_CNC112_SLC38A1_Mut2_5_soma.tif:dendrite 2:1,6.099,56.106,13.863,47.012,21.057,86.520,342.192,57.865,6620.453,26.740
7,MAX_CNC112_SLC38A1_Mut2_5_soma.tif:dendrite 2 background:1,6.099,20.920,13.754,13.085,8.402,76.899,127.591,14.831,2468.527,26.740
8,MAX_CNC112_SLC38A1_Mut2_5_soma.tif:dendrite 3:1,6.564,71.607,15.370,76.077,39.267,110.387,470.048,72.652,9094.102,28.778
9,MAX_CNC112_SLC38A1_Mut2_5_soma.tif:dendrite 3 background:1,6.564,19.330,10.981,13.798,8.358,79.772,126.887,15.108,2454.902,28.778
10,MAX_CNC112_SLC38A1_Mut2_5_soma.tif:AIS:1,6.513,43.930,14.620,25.298,18.550,77.107,286.099,42.793,5535.213,28.580
11,MAX_CNC112_SLC38A1_Mut2_5_soma.tif:AIS background:1,6.513,21.676,17.094,11.107,8.355,91.256,141.168,15.246,2731.204,28.580
