 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_CNC112_SLC38A1_WT_2_soma.tif:cell body:1,175.736,150.972,45.752,159.000,14.000,230.000,26531.268,159.000,513305.000,0.000
2,MAX_CNC112_SLC38A1_WT_2_soma.tif:nucleus:1,43.262,155.509,15.128,159.000,117.000,205.000,6727.650,154.000,130161.000,0.000
3,MAX_CNC112_SLC38A1_WT_2_soma.tif:cytoplasm:1,132.474,149.490,51.900,192.000,14.000,230.000,19803.618,166.000,383144.000,0.000
4,MAX_CNC112_SLC38A1_WT_2_soma.tif:dendrite 1:1,8.218,68.532,19.831,57.723,30.116,109.974,563.215,65.257,10896.614,35.967
5,MAX_CNC112_SLC38A1_WT_2_soma.tif:dendrite 1 background:1,8.218,21.813,12.880,10.874,8.948,74.683,179.264,16.359,3468.256,35.967
6,MAX_CNC112_SLC38A1_WT_2_soma.tif:dendrite 2:1,8.373,97.823,16.668,94.830,53.709,136.273,819.101,99.611,15847.288,36.730
7,MAX_CNC112_SLC38A1_WT_2_soma.tif:dendrite 2 background:1,8.373,27.565,17.423,12.967,9.722,97.178,230.814,20.132,4465.595,36.730
8,MAX_CNC112_SLC38A1_WT_2_soma.tif:dendrite 3:1,7.856,77.706,15.744,57.745,45.223,120.651,610.495,77.744,11811.344,34.393
9,MAX_CNC112_SLC38A1_WT_2_soma.tif:dendrite 3 background:1,7.856,25.875,23.720,13.931,8.647,116.849,203.287,15.516,3933.035,34.393
10,MAX_CNC112_SLC38A1_WT_2_soma.tif:AIS:1,5.944,40.878,15.668,29.052,18.780,95.000,242.977,35.850,4700.926,26.046
11,MAX_CNC112_SLC38A1_WT_2_soma.tif:AIS background:1,5.944,19.338,11.778,10.954,9.010,61.394,114.944,14.569,2223.851,26.046
