 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,MAX_CNC112_SLC38A1_WT_3_soma.tif:cell body:1,128.804,204.523,32.154,230.000,57.000,251.000,0.000,0.000,26343.489,212.000,509672.000,0,0.000
2,MAX_CNC112_SLC38A1_WT_3_soma.tif:nucleus:1,35.974,201.030,18.759,200.000,153.000,243.000,0.000,0.000,7231.910,202.000,139917.000,0,0.000
3,MAX_CNC112_SLC38A1_WT_3_soma.tif:cytoplasm:1,92.830,205.877,35.944,234.000,57.000,251.000,0.000,0.000,19111.579,218.000,369755.000,0,0.000
4,MAX_CNC112_SLC38A1_WT_3_soma.tif:dendrite 1:1,5.841,128.375,21.274,110.923,82.617,173.767,0.000,0.000,749.791,128.076,14506.331,0,25.600
5,MAX_CNC112_SLC38A1_WT_3_soma.tif:dendrite 1 background:1,5.841,35.481,24.531,13.610,9.437,111.186,0.000,0.000,207.233,26.907,4009.382,0,25.600
6,MAX_CNC112_SLC38A1_WT_3_soma.tif:dendrite 2:1,6.719,150.408,14.676,159.049,111.467,194.615,0.000,0.000,1010.641,150.414,19553.052,0,29.470
7,MAX_CNC112_SLC38A1_WT_3_soma.tif:dendrite 2 background:1,6.719,16.619,10.048,11.974,9.000,69.914,0.000,0.000,111.666,13.159,2160.419,0,29.470
8,MAX_CNC112_SLC38A1_WT_3_soma.tif:dendrite 3:1,0.000,7.000,0.000,7.000,7.000,7.000,39.786,88.211,0.362,7.000,7.000,3,0.000
9,MAX_CNC112_SLC38A1_WT_3_soma.tif:dendrite 3 background:1,0.000,5.000,0.000,5.000,5.000,5.000,42.059,90.485,0.258,5.000,5.000,3,0.000
10,MAX_CNC112_SLC38A1_WT_3_soma.tif:AIS:1,8.632,75.237,30.132,49.236,23.376,144.850,0.000,0.000,649.431,68.967,12564.657,0,37.769
11,MAX_CNC112_SLC38A1_WT_3_soma.tif:AIS background:1,8.632,40.824,27.335,10.112,9.000,122.872,0.000,0.000,352.385,31.836,6817.662,0,37.769
