 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_cda7c0b9-ab24-4624-a9b7-76d882777bce.tif:cell body:3,202.769,2770.219,1287.695,4278.484,347.000,4771.000,561713.627,2919.000,10867570.000,0.000
2,SUM_cda7c0b9-ab24-4624-a9b7-76d882777bce.tif:nucleus:3,76.083,3883.298,582.743,4331.059,2121.000,4771.000,295454.813,4116.500,5716215.000,0.000
3,SUM_cda7c0b9-ab24-4624-a9b7-76d882777bce.tif:cytoplasm:3,126.685,2101.736,1122.089,526.014,347.000,4332.000,266258.814,2125.000,5151355.000,0.000
4,SUM_cda7c0b9-ab24-4624-a9b7-76d882777bce.tif:dendrite 1:3,4.445,624.540,159.464,674.042,354.916,1101.000,2776.141,613.962,53710.481,19.457
5,SUM_cda7c0b9-ab24-4624-a9b7-76d882777bce.tif:dendrite 1 background:3,4.445,175.134,41.254,146.231,137.252,307.517,778.489,155.413,15061.555,19.457
6,SUM_cda7c0b9-ab24-4624-a9b7-76d882777bce.tif:dendrite 2:3,9.769,627.491,133.692,577.408,385.698,1062.633,6129.878,595.159,118595.809,42.899
7,SUM_cda7c0b9-ab24-4624-a9b7-76d882777bce.tif:dendrite 2 background:3,9.769,195.742,30.278,172.566,148.962,284.754,1912.177,186.782,36995.217,42.899
8,SUM_cda7c0b9-ab24-4624-a9b7-76d882777bce.tif:dendrite 3:3,6.978,548.993,133.400,444.030,389.695,981.594,3830.745,499.806,74114.077,30.506
9,SUM_cda7c0b9-ab24-4624-a9b7-76d882777bce.tif:dendrite 3 background:3,6.978,147.482,11.757,135.127,133.730,188.737,1029.097,143.961,19910.119,30.506
10,SUM_cda7c0b9-ab24-4624-a9b7-76d882777bce.tif:AIS:3,6.358,322.486,107.881,292.581,177.382,855.336,2050.211,312.297,39665.789,27.774
11,SUM_cda7c0b9-ab24-4624-a9b7-76d882777bce.tif:AIS background:3,6.358,161.163,19.244,149.278,135.949,237.807,1024.594,155.824,19822.991,27.774
