 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_0c2beb8b-668b-4b37-88f4-bac7388c2954.tif:cell body:1,88.799,1661.922,449.875,1916.461,430.000,2586.000,147576.196,1754.000,2855182.000,0.000
2,SUM_0c2beb8b-668b-4b37-88f4-bac7388c2954.tif:nucleus:1,25.482,1908.690,189.060,1916.172,1366.000,2334.000,48636.773,1917.000,940984.000,0.000
3,SUM_0c2beb8b-668b-4b37-88f4-bac7388c2954.tif:cytoplasm:1,63.317,1562.611,484.912,1672.227,430.000,2586.000,98939.423,1595.000,1914198.000,0.000
4,SUM_0c2beb8b-668b-4b37-88f4-bac7388c2954.tif:dendrite 1:1,4.083,836.873,87.451,664.826,664.029,1072.152,3417.191,832.695,66112.975,17.838
5,SUM_0c2beb8b-668b-4b37-88f4-bac7388c2954.tif:dendrite 1 background:1,4.083,713.585,137.187,611.598,503.503,1098.607,2913.772,684.207,56373.250,17.838
6,SUM_0c2beb8b-668b-4b37-88f4-bac7388c2954.tif:dendrite 2:1,8.890,684.713,106.910,692.661,474.299,1041.818,6087.227,674.471,117770.631,39.089
7,SUM_0c2beb8b-668b-4b37-88f4-bac7388c2954.tif:dendrite 2 background:1,8.890,372.575,218.798,149.976,129.672,822.737,3312.259,301.880,64082.843,39.089
8,SUM_0c2beb8b-668b-4b37-88f4-bac7388c2954.tif:dendrite 3:1,5.117,298.945,82.563,213.445,146.099,474.491,1529.712,292.693,29595.597,22.397
9,SUM_0c2beb8b-668b-4b37-88f4-bac7388c2954.tif:dendrite 3 background:1,5.117,192.172,70.456,139.936,122.149,436.186,983.348,168.612,19025.000,22.397
10,SUM_0c2beb8b-668b-4b37-88f4-bac7388c2954.tif:AIS:1,7.185,354.148,73.517,292.505,230.090,523.268,2544.377,339.529,49226.506,31.597
11,SUM_0c2beb8b-668b-4b37-88f4-bac7388c2954.tif:AIS background:1,7.185,249.363,122.793,153.025,126.791,589.961,1791.551,191.118,34661.452,31.597
