 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,SUM_2168fd82-0abf-4275-9876-d3020fd7c570.tif:cell body:1,73.034,1553.856,427.335,1416.170,292.000,2567.000,0.000,0.000,113484.184,1538.000,2195598.000,0,0.000
2,SUM_2168fd82-0abf-4275-9876-d3020fd7c570.tif:nucleus:1,46.363,1631.230,359.759,1416.170,754.000,2567.000,0.000,0.000,75629.297,1576.000,1463213.000,0,0.000
3,SUM_2168fd82-0abf-4275-9876-d3020fd7c570.tif:cytoplasm:1,26.671,1419.351,496.944,1131.174,292.000,2473.000,0.000,0.000,37854.887,1428.500,732385.000,0,0.000
4,SUM_2168fd82-0abf-4275-9876-d3020fd7c570.tif:dendrite 1:1,13.439,927.836,499.384,525.348,360.094,2019.113,0.000,0.000,12468.873,735.225,241237.426,0,59.024
5,SUM_2168fd82-0abf-4275-9876-d3020fd7c570.tif:dendrite 1 background:1,13.439,594.626,505.502,160.307,141.798,2037.104,0.000,0.000,7990.975,496.128,154602.765,0,59.024
6,SUM_2168fd82-0abf-4275-9876-d3020fd7c570.tif:dendrite 2:1,0.000,131.000,0.000,131.000,131.000,131.000,87.302,77.071,6.771,131.000,131.000,3,0.000
7,SUM_2168fd82-0abf-4275-9876-d3020fd7c570.tif:dendrite 2 background:1,0.000,129.000,0.000,129.000,129.000,129.000,89.575,79.344,6.668,129.000,129.000,3,0.000
8,SUM_2168fd82-0abf-4275-9876-d3020fd7c570.tif:dendrite 3:1,0.000,131.000,0.000,131.000,131.000,131.000,87.302,77.071,6.771,131.000,131.000,3,0.000
9,SUM_2168fd82-0abf-4275-9876-d3020fd7c570.tif:dendrite 3 background:1,0.000,129.000,0.000,129.000,129.000,129.000,89.575,79.344,6.668,129.000,129.000,3,0.000
10,SUM_2168fd82-0abf-4275-9876-d3020fd7c570.tif:AIS:1,3.153,315.743,68.413,247.820,225.230,461.270,0.000,0.000,995.510,293.767,19260.298,0,13.796
11,SUM_2168fd82-0abf-4275-9876-d3020fd7c570.tif:AIS background:1,3.153,191.058,42.959,164.840,148.744,340.397,0.000,0.000,602.390,177.346,11654.547,0,13.796
