 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_557c5790-c549-410e-a8a5-8c9b52e0bbb7.tif:cell body:1,173.514,1993.378,575.989,2258.264,449.000,3568.000,345878.462,2033.000,6691770.000,0.000
2,SUM_557c5790-c549-410e-a8a5-8c9b52e0bbb7.tif:nucleus:1,47.759,2241.692,270.596,2260.924,1424.000,3041.000,107060.765,2247.500,2071323.000,0.000
3,SUM_557c5790-c549-410e-a8a5-8c9b52e0bbb7.tif:cytoplasm:1,125.755,1899.074,630.634,1454.146,449.000,3568.000,238817.697,1799.000,4620447.000,0.000
4,SUM_557c5790-c549-410e-a8a5-8c9b52e0bbb7.tif:dendrite 1:1,7.391,757.372,177.260,609.683,377.277,1165.303,5597.935,753.962,108304.201,32.511
5,SUM_557c5790-c549-410e-a8a5-8c9b52e0bbb7.tif:dendrite 1 background:1,7.391,825.498,388.553,239.723,218.909,1741.333,6101.472,749.000,118046.224,32.511
6,SUM_557c5790-c549-410e-a8a5-8c9b52e0bbb7.tif:dendrite 2:1,6.461,956.446,218.528,875.809,582.912,1631.605,6179.497,882.252,119555.787,28.210
7,SUM_557c5790-c549-410e-a8a5-8c9b52e0bbb7.tif:dendrite 2 background:1,6.461,491.698,222.980,241.424,204.548,1103.600,3176.809,433.739,61462.271,28.209
8,SUM_557c5790-c549-410e-a8a5-8c9b52e0bbb7.tif:dendrite 3:1,6.564,629.521,143.589,475.594,381.989,1021.000,4132.344,618.940,79949.173,28.848
9,SUM_557c5790-c549-410e-a8a5-8c9b52e0bbb7.tif:dendrite 3 background:1,6.564,480.782,181.281,320.977,211.225,941.000,3155.983,495.834,61059.355,28.848
10,SUM_557c5790-c549-410e-a8a5-8c9b52e0bbb7.tif:AIS:1,7.340,262.032,48.875,215.761,193.987,389.573,1923.205,244.703,37208.583,32.293
11,SUM_557c5790-c549-410e-a8a5-8c9b52e0bbb7.tif:AIS background:1,7.340,209.112,103.582,157.926,141.992,621.871,1534.792,165.454,29693.884,32.293
