 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,SUM_a637994d-9e7b-44d8-a61b-0c015b786b4a.tif:cell body:1,128.804,2837.151,838.979,3097.012,727.000,4393.000,0.000,0.000,365437.445,2893.500,7070181.000,0,0.000
2,SUM_a637994d-9e7b-44d8-a61b-0c015b786b4a.tif:nucleus:1,35.974,3067.457,402.612,3103.006,2074.000,4207.000,0.000,0.000,110349.462,3062.000,2134950.000,0,0.000
3,SUM_a637994d-9e7b-44d8-a61b-0c015b786b4a.tif:cytoplasm:1,92.830,2747.901,941.018,4199.676,727.000,4393.000,0.000,0.000,255087.982,2727.500,4935231.000,0,0.000
4,SUM_a637994d-9e7b-44d8-a61b-0c015b786b4a.tif:dendrite 1:1,5.841,949.108,148.207,755.523,701.574,1289.271,0.000,0.000,5543.402,949.797,107249.150,0,25.600
5,SUM_a637994d-9e7b-44d8-a61b-0c015b786b4a.tif:dendrite 1 background:1,5.841,339.386,172.510,201.066,169.154,822.706,0.000,0.000,1982.235,265.234,38350.646,0,25.600
6,SUM_a637994d-9e7b-44d8-a61b-0c015b786b4a.tif:dendrite 2:1,6.719,1120.408,114.328,1194.555,876.859,1365.328,0.000,0.000,7528.388,1130.763,145653.015,0,29.470
7,SUM_a637994d-9e7b-44d8-a61b-0c015b786b4a.tif:dendrite 2 background:1,6.719,210.551,54.411,178.538,159.935,488.372,0.000,0.000,1414.763,193.141,27371.657,0,29.470
8,SUM_a637994d-9e7b-44d8-a61b-0c015b786b4a.tif:dendrite 3:1,0.000,155.000,0.000,155.000,155.000,155.000,39.786,88.211,8.012,155.000,155.000,3,0.000
9,SUM_a637994d-9e7b-44d8-a61b-0c015b786b4a.tif:dendrite 3 background:1,0.000,135.000,0.000,135.000,135.000,135.000,42.059,90.485,6.978,135.000,135.000,3,0.000
10,SUM_a637994d-9e7b-44d8-a61b-0c015b786b4a.tif:AIS:1,8.632,558.690,212.113,505.724,268.730,1305.831,0.000,0.000,4822.473,501.175,93301.209,0,37.769
11,SUM_a637994d-9e7b-44d8-a61b-0c015b786b4a.tif:AIS background:1,8.632,360.130,154.500,170.191,168.950,804.358,0.000,0.000,3108.557,319.656,60141.788,0,37.769
