 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_DMSO-for-GCA_5_BOTH.tif:cell body:1,270.324,61.860,45.176,16.000,5.000,243.000,16722.134,50.000,323526.000,0.000
2,MAX_DMSO-for-GCA_5_BOTH.tif:nucleus:1,64.919,113.463,29.204,89.000,59.000,229.000,7365.935,108.000,142510.000,0.000
3,MAX_DMSO-for-GCA_5_BOTH.tif:cytoplasm:1,205.405,45.550,36.177,16.000,5.000,243.000,9356.200,34.000,181016.000,0.000
4,MAX_DMSO-for-GCA_5_BOTH.tif:dendrite 1:1,3.360,20.008,6.600,21.099,8.658,36.472,67.220,19.750,1300.507,14.639
5,MAX_DMSO-for-GCA_5_BOTH.tif:dendrite 1 background:1,3.360,4.456,0.921,4.006,3.034,8.165,14.972,4.412,289.671,14.639
6,MAX_DMSO-for-GCA_5_BOTH.tif:dendrite 2:1,1.499,20.554,6.471,15.021,12.517,38.680,30.809,19.427,596.065,6.446
7,MAX_DMSO-for-GCA_5_BOTH.tif:dendrite 2 background:1,1.499,4.551,0.745,3.954,3.301,6.548,6.821,4.444,131.973,6.446
8,MAX_DMSO-for-GCA_5_BOTH.tif:dendrite 3:1,1.706,21.217,8.383,8.736,8.683,36.085,36.189,22.699,700.157,7.393
9,MAX_DMSO-for-GCA_5_BOTH.tif:dendrite 3 background:1,1.706,4.179,0.563,3.255,3.251,5.443,7.128,4.240,137.907,7.393
10,MAX_DMSO-for-GCA_5_BOTH.tif:AIS:1,6.978,39.909,13.263,32.536,16.423,80.374,278.476,38.783,5387.731,30.656
11,MAX_DMSO-for-GCA_5_BOTH.tif:AIS background:1,6.978,4.805,1.794,3.977,3.025,16.946,33.529,4.397,648.696,30.656
12,MAX_DMSO-for-GCA_5_BOTH.tif:axon:1,16.540,33.537,13.554,15.529,9.460,75.570,554.702,32.683,10731.906,72.596
13,MAX_DMSO-for-GCA_5_BOTH.tif:axon background:1,16.540,4.843,1.826,4.980,3.000,24.570,80.107,4.561,1549.847,72.596
14,MAX_DMSO-for-GCA_5_BOTH.tif:growth cone:1,71.070,14.397,9.577,9.000,3.000,85.000,1023.199,12.000,19796.000,0.000
15,MAX_DMSO-for-GCA_5_BOTH.tif:growth cone background:1,71.070,4.259,1.116,4.000,3.000,13.000,302.680,4.000,5856.000,0.000
