 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_DMSO-for-GCA_6_soma.tif:cell body:1,334.209,80.084,51.512,26.000,6.000,251.000,26764.791,67.000,517823.000,0.000
2,MAX_DMSO-for-GCA_6_soma.tif:nucleus:1,69.364,143.864,23.224,149.000,65.000,250.000,9978.978,141.000,193065.000,0.000
3,MAX_DMSO-for-GCA_6_soma.tif:cytoplasm:1,264.845,63.380,43.159,26.000,6.000,251.000,16785.813,52.000,324758.000,0.000
4,MAX_DMSO-for-GCA_6_soma.tif:dendrite 1:1,3.101,19.614,8.393,14.177,6.447,40.276,60.826,19.507,1176.816,13.579
5,MAX_DMSO-for-GCA_6_soma.tif:dendrite 1 background:1,3.101,5.251,2.370,4.604,3.353,15.000,16.286,4.555,315.085,13.579
6,MAX_DMSO-for-GCA_6_soma.tif:dendrite 2:1,1.551,19.564,5.568,14.813,10.646,32.197,30.336,19.853,586.909,6.664
7,MAX_DMSO-for-GCA_6_soma.tif:dendrite 2 background:1,1.551,4.602,1.009,3.991,3.441,9.189,7.136,4.468,138.065,6.664
8,MAX_DMSO-for-GCA_6_soma.tif:dendrite 3:1,2.171,15.369,7.003,7.036,6.211,38.686,33.363,14.100,645.478,9.547
9,MAX_DMSO-for-GCA_6_soma.tif:dendrite 3 background:1,2.171,4.734,0.936,4.066,3.213,6.823,10.277,4.556,198.826,9.547
10,MAX_DMSO-for-GCA_6_soma.tif:AIS:1,8.322,38.896,7.963,31.625,20.041,62.104,323.679,38.547,6262.283,36.527
11,MAX_DMSO-for-GCA_6_soma.tif:AIS background:1,8.322,4.526,0.849,3.999,3.099,8.789,37.664,4.335,728.697,36.527
