 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_DMSO-for-H89_2_BOTH.tif:cell body:1,466.218,40.277,45.692,7.000,4.000,255.000,18777.732,19.000,363296.000,0.000
2,MAX_DMSO-for-H89_2_BOTH.tif:nucleus:1,50.085,117.844,38.672,94.000,57.000,255.000,5902.206,104.000,114191.000,0.000
3,MAX_DMSO-for-H89_2_BOTH.tif:cytoplasm:1,416.133,30.941,36.713,7.000,4.000,248.000,12875.525,16.000,249105.000,0.000
4,MAX_DMSO-for-H89_2_BOTH.tif:dendrite 1:1,4.807,11.180,5.194,10.125,4.446,29.295,53.740,9.903,1039.718,21.041
5,MAX_DMSO-for-H89_2_BOTH.tif:dendrite 1 background:1,4.807,4.436,0.910,4.059,3.019,9.000,21.322,4.283,412.516,21.041
6,MAX_DMSO-for-H89_2_BOTH.tif:dendrite 2:1,4.135,9.378,3.924,7.194,5.000,27.026,38.777,8.150,750.229,18.110
7,MAX_DMSO-for-H89_2_BOTH.tif:dendrite 2 background:1,4.135,4.577,0.728,4.494,3.247,7.163,18.926,4.508,366.167,18.110
8,MAX_DMSO-for-H89_2_BOTH.tif:dendrite 3:1,2.894,9.151,2.640,9.269,5.042,16.740,26.487,8.754,512.448,12.572
9,MAX_DMSO-for-H89_2_BOTH.tif:dendrite 3 background:1,2.894,4.834,0.770,4.006,3.760,7.158,13.990,4.606,270.676,12.572
10,MAX_DMSO-for-H89_2_BOTH.tif:AIS:1,3.825,37.451,11.261,34.083,20.374,70.873,143.243,35.719,2771.348,16.730
11,MAX_DMSO-for-H89_2_BOTH.tif:AIS background:1,3.825,4.619,1.026,3.592,3.000,8.315,17.669,4.484,341.836,16.730
12,MAX_DMSO-for-H89_2_BOTH.tif:axon:1,11.475,29.156,12.194,17.583,7.819,68.049,334.557,28.941,6472.735,50.297
13,MAX_DMSO-for-H89_2_BOTH.tif:axon background:1,11.475,4.403,0.927,3.993,3.000,9.963,50.523,4.239,977.469,50.297
14,MAX_DMSO-for-H89_2_BOTH.tif:growth cone:1,70.450,15.772,9.995,7.000,3.000,75.000,1111.118,13.000,21497.000,0.000
15,MAX_DMSO-for-H89_2_BOTH.tif:growth cone background:1,70.450,4.494,2.267,4.000,3.000,55.000,316.584,4.000,6125.000,0.000
