 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_DMSO-for-H89_4_soma.tif:cell body:1,464.667,49.181,48.445,8.000,4.000,250.000,22852.953,30.000,442140.000,0.000
2,MAX_DMSO-for-H89_4_soma.tif:nucleus:1,58.613,148.552,33.449,141.000,80.000,250.000,8707.112,143.000,168458.000,0.000
3,MAX_DMSO-for-H89_4_soma.tif:cytoplasm:1,406.054,34.837,29.884,8.000,4.000,240.000,14145.840,26.000,273682.000,0.000
4,MAX_DMSO-for-H89_4_soma.tif:dendrite 1:1,3.153,12.256,5.016,6.120,4.873,26.890,38.642,11.448,747.605,13.869
5,MAX_DMSO-for-H89_4_soma.tif:dendrite 1 background:1,3.153,4.887,0.789,3.888,3.679,6.928,15.407,4.887,298.085,13.869
6,MAX_DMSO-for-H89_4_soma.tif:dendrite 2:1,4.083,12.696,4.817,8.907,3.875,23.247,51.842,11.865,1003.004,17.873
7,MAX_DMSO-for-H89_4_soma.tif:dendrite 2 background:1,4.083,4.477,0.929,4.776,3.067,8.011,18.282,4.356,353.700,17.873
8,MAX_DMSO-for-H89_4_soma.tif:dendrite 3:1,2.791,16.437,9.099,9.540,6.838,48.761,45.877,12.341,887.589,12.153
9,MAX_DMSO-for-H89_4_soma.tif:dendrite 3 background:1,2.791,4.444,0.687,4.146,3.181,7.265,12.403,4.364,239.965,12.153
10,MAX_DMSO-for-H89_4_soma.tif:AIS:1,7.288,32.230,8.582,26.288,13.019,52.750,234.889,30.256,4544.441,31.961
11,MAX_DMSO-for-H89_4_soma.tif:AIS background:1,7.288,4.645,0.719,3.998,3.084,7.018,33.851,4.582,654.916,31.961
