 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_GCA_3_BOTH.tif:cell body:1,281.747,55.731,42.917,9.000,5.000,195.000,15701.882,42.000,303787.000,0.000
2,MAX_GCA_3_BOTH.tif:nucleus:1,71.018,117.554,23.001,101.000,57.000,195.000,8348.455,115.000,161519.000,0.000
3,MAX_GCA_3_BOTH.tif:cytoplasm:1,210.728,34.895,23.705,9.000,5.000,174.000,7353.426,29.000,142268.000,0.000
4,MAX_GCA_3_BOTH.tif:dendrite 1:1,5.427,11.429,3.089,8.122,5.337,18.916,62.029,11.435,1200.088,23.836
5,MAX_GCA_3_BOTH.tif:dendrite 1 background:1,5.427,5.903,2.430,4.927,3.099,17.500,32.035,5.052,619.782,23.836
6,MAX_GCA_3_BOTH.tif:dendrite 2:1,3.721,8.765,3.127,6.922,4.262,22.922,32.620,7.728,631.096,16.314
7,MAX_GCA_3_BOTH.tif:dendrite 2 background:1,3.721,6.299,2.186,4.987,3.836,13.500,23.441,5.602,453.511,16.314
8,MAX_GCA_3_BOTH.tif:dendrite 3:1,2.739,9.351,2.831,8.813,4.976,18.908,25.617,8.828,495.622,11.838
9,MAX_GCA_3_BOTH.tif:dendrite 3 background:1,2.739,4.707,0.883,3.328,3.061,7.773,12.895,4.652,249.489,11.838
10,MAX_GCA_3_BOTH.tif:AIS:1,4.755,15.530,3.922,13.811,9.063,28.824,73.850,15.142,1428.785,20.768
11,MAX_GCA_3_BOTH.tif:AIS background:1,4.755,5.462,1.365,4.983,3.498,11.179,25.974,5.035,502.517,20.768
12,MAX_GCA_3_BOTH.tif:axon:1,17.315,15.690,4.412,10.919,7.152,32.868,271.673,15.234,5256.102,76.072
13,MAX_GCA_3_BOTH.tif:axon background:1,17.315,5.419,4.043,5.065,3.000,58.638,93.830,4.890,1815.345,76.072
14,MAX_GCA_3_BOTH.tif:growth cone:1,47.552,9.385,4.817,6.000,3.000,55.000,446.267,8.000,8634.000,0.000
15,MAX_GCA_3_BOTH.tif:growth cone background:1,47.552,4.797,1.433,4.000,3.000,18.000,228.095,5.000,4413.000,0.000
