 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_H89_1_BOTH.tif:cell body:1,161.212,58.024,42.267,7.000,4.000,193.000,9354.184,52.000,180977.000,0.000
2,MAX_H89_1_BOTH.tif:nucleus:1,52.462,103.388,25.177,88.000,57.000,193.000,5423.997,98.000,104939.000,0.000
3,MAX_H89_1_BOTH.tif:cytoplasm:1,108.750,36.140,29.508,7.000,4.000,174.000,3930.187,27.000,76038.000,0.000
4,MAX_H89_1_BOTH.tif:dendrite 1:1,5.686,17.219,5.317,14.616,7.380,35.236,97.903,16.813,1894.139,25.033
5,MAX_H89_1_BOTH.tif:dendrite 1 background:1,5.686,4.446,0.794,4.003,3.001,7.388,25.281,4.351,489.112,25.033
6,MAX_H89_1_BOTH.tif:dendrite 2:1,1.189,11.203,3.960,9.905,5.257,18.702,13.318,9.963,257.667,5.038
7,MAX_H89_1_BOTH.tif:dendrite 2 background:1,1.189,4.716,0.696,4.006,4.001,6.561,5.607,4.483,108.470,5.038
8,MAX_H89_1_BOTH.tif:dendrite 3:1,1.447,8.502,3.272,7.039,5.113,16.448,12.305,7.056,238.067,6.244
9,MAX_H89_1_BOTH.tif:dendrite 3 background:1,1.447,5.105,1.058,3.390,3.382,7.775,7.388,4.734,142.938,6.244
10,MAX_H89_1_BOTH.tif:AIS:1,5.169,29.253,6.846,22.074,16.235,55.060,151.201,29.859,2925.307,22.701
11,MAX_H89_1_BOTH.tif:AIS background:1,5.169,4.582,1.313,3.987,3.001,12.178,23.682,4.370,458.189,22.701
12,MAX_H89_1_BOTH.tif:axon:1,28.635,23.075,7.973,23.488,4.543,59.345,660.751,22.780,12783.656,125.819
13,MAX_H89_1_BOTH.tif:axon background:1,28.635,4.778,1.879,3.969,3.000,21.377,136.828,4.460,2647.236,125.819
14,MAX_H89_1_BOTH.tif:growth cone:1,7.960,9.104,4.157,6.000,4.000,23.000,72.465,8.000,1402.000,0.000
15,MAX_H89_1_BOTH.tif:growth cone background:1,7.960,4.481,1.200,4.000,3.000,11.000,35.664,4.000,690.000,0.000
