 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,MAX_H89_4_BOTH.tif:cell body:1,225.098,40.416,30.748,7.000,4.000,251.000,0.000,0.000,9097.505,30.000,176011.000,0,0.000
2,MAX_H89_4_BOTH.tif:nucleus:1,63.265,78.380,19.575,73.000,32.000,251.000,0.000,0.000,4958.709,75.000,95937.000,0,0.000
3,MAX_H89_4_BOTH.tif:cytoplasm:1,161.832,25.575,19.532,7.000,4.000,146.000,0.000,0.000,4138.796,18.000,80074.000,0,0.000
4,MAX_H89_4_BOTH.tif:dendrite 1:1,1.809,8.066,2.776,7.602,4.059,17.300,0.000,0.000,14.591,7.622,282.296,0,7.885
5,MAX_H89_4_BOTH.tif:dendrite 1 background:1,1.809,4.544,1.089,4.003,3.210,9.458,0.000,0.000,8.220,4.407,159.033,0,7.885
6,MAX_H89_4_BOTH.tif:dendrite 2:1,0.724,7.626,2.013,5.205,5.192,11.558,0.000,0.000,5.518,7.196,106.763,0,3.138
7,MAX_H89_4_BOTH.tif:dendrite 2 background:1,0.724,4.178,0.339,3.998,3.602,4.734,0.000,0.000,3.023,4.103,58.495,0,3.138
8,MAX_H89_4_BOTH.tif:dendrite 3:1,0.000,4.000,0.000,4.000,4.000,4.000,6.934,43.594,0.207,4.000,4.000,1,0.000
9,MAX_H89_4_BOTH.tif:dendrite 3 background:1,0.000,4.000,0.000,4.000,4.000,4.000,9.208,45.867,0.207,4.000,4.000,1,0.000
10,MAX_H89_4_BOTH.tif:AIS:1,3.670,23.748,5.963,20.034,11.305,45.952,0.000,0.000,87.149,23.480,1686.092,0,15.947
11,MAX_H89_4_BOTH.tif:AIS background:1,3.670,5.540,2.004,4.993,3.376,15.041,0.000,0.000,20.330,4.968,393.321,0,15.947
12,MAX_H89_4_BOTH.tif:axon:1,19.124,20.554,6.295,18.880,7.560,49.255,0.000,0.000,393.081,20.072,7605.009,0,84.062
13,MAX_H89_4_BOTH.tif:axon background:1,19.124,4.748,1.148,4.983,3.000,12.860,0.000,0.000,90.801,4.568,1756.747,0,84.062
14,MAX_H89_4_BOTH.tif:growth cone:1,19.538,13.812,11.403,5.000,4.000,67.000,0.000,0.000,269.859,9.000,5221.000,0,0.000
15,MAX_H89_4_BOTH.tif:growth cone background:1,19.538,4.513,1.626,4.000,3.000,17.000,0.000,0.000,88.178,4.000,1706.000,0,0.000
