 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_10cf0abd-8154-4228-b506-95599cd71777.tif:cell body:1,272.391,441.803,272.544,183.162,138.000,1355.000,120343.326,331.000,2328303.000,0.000
2,SUM_10cf0abd-8154-4228-b506-95599cd71777.tif:nucleus:1,62.800,844.669,136.422,792.533,408.000,1307.000,53045.118,835.000,1026273.000,0.000
3,SUM_10cf0abd-8154-4228-b506-95599cd71777.tif:cytoplasm:1,209.591,321.092,166.589,183.162,138.000,1355.000,67298.209,273.000,1302030.000,0.000
4,SUM_10cf0abd-8154-4228-b506-95599cd71777.tif:dendrite 1:1,5.531,162.461,16.664,175.666,136.028,215.616,898.495,161.248,17383.345,24.179
5,SUM_10cf0abd-8154-4228-b506-95599cd71777.tif:dendrite 1 background:1,5.531,137.400,1.784,136.514,135.000,147.710,759.893,137.113,14701.789,24.179
6,SUM_10cf0abd-8154-4228-b506-95599cd71777.tif:dendrite 2:1,3.670,162.061,16.015,149.022,139.608,211.548,594.728,157.843,11506.300,16.085
7,SUM_10cf0abd-8154-4228-b506-95599cd71777.tif:dendrite 2 background:1,3.670,139.294,5.131,137.683,135.163,160.467,511.180,137.663,9889.885,16.085
8,SUM_10cf0abd-8154-4228-b506-95599cd71777.tif:dendrite 3:1,2.894,163.305,16.783,147.758,143.604,216.953,472.683,158.894,9145.082,12.529
9,SUM_10cf0abd-8154-4228-b506-95599cd71777.tif:dendrite 3 background:1,2.894,140.584,7.391,136.963,135.081,170.770,406.919,137.961,7872.729,12.529
10,SUM_10cf0abd-8154-4228-b506-95599cd71777.tif:AIS:1,4.910,271.218,78.093,227.464,186.282,584.111,1331.758,246.989,25765.742,21.408
11,SUM_10cf0abd-8154-4228-b506-95599cd71777.tif:AIS background:1,4.910,137.505,1.676,137.306,135.036,144.487,675.186,137.124,13062.932,21.408
